Atom: Ti, Spin: 1, Partial Phase Shift and DOS at Energy =    0.59067799
Total DOS in Cell and MT Volumes =   23.40513937  19.97283912
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.64106186           0.33744487           0.25582115
  1    -1          -0.15767921           1.50079874           0.98153761
  1     0          -0.15767921           1.50079874           0.98153761
  1     1          -0.15767921           1.50079874           0.98153761
  2    -2           0.76805586           3.19105141           2.94989516
  2    -1           0.76805586           5.01572754           4.63688713
  2     0           0.76805586           1.36637528           1.26290319
  2     1           0.76805586           5.01572754           4.63688713
  2     2           0.76805586           3.19105141           2.94989516
  3    -3           0.00313739           0.07601366           0.03389531
  3    -2           0.00313739           0.15356331           0.06846093
  3    -1           0.00313739           0.04995208           0.02227548
  3     0           0.00313739           0.11510603           0.05132505
  3     1           0.00313739           0.04995208           0.02227548
  3     2           0.00313739           0.15356331           0.06846093
  3     3           0.00313739           0.07601366           0.03389531
  4    -4           0.00010372           0.01076337           0.00342163
  4    -3           0.00010372           0.01532920           0.00487255
  4    -2           0.00010372           0.01216433           0.00386691
  4    -1           0.00010372           0.01183579           0.00376294
  4     0           0.00010372           0.01101557           0.00350084
  4     1           0.00010372           0.01183579           0.00376294
  4     2           0.00010372           0.01216433           0.00386691
  4     3           0.00010372           0.01532920           0.00487255
  4     4           0.00010372           0.01076337           0.00342163
