Atom: Cr, Spin: 1, Partial Phase Shift and DOS at Energy =    0.80748511
Total DOS in Cell and MT Volumes =    8.87985928   8.03110743
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.72481422           0.06429731           0.04380192
  1    -1          -0.18292035           0.27824158           0.16047059
  1     0          -0.18292035           0.27824158           0.16047059
  1     1          -0.18292035           0.27824158           0.16047059
  2    -2           1.99554179           1.46473060           1.41265288
  2    -1           1.99554179           1.81294855           1.74759577
  2     0           1.99554179           1.11651265           1.07771000
  2     1           1.99554179           1.81294855           1.74759577
  2     2           1.99554179           1.46473060           1.41265288
  3    -3           0.00329003           0.03660819           0.01350139
  3    -2           0.00329003           0.03658254           0.01349095
  3    -1           0.00329003           0.03685182           0.01359038
  3     0           0.00329003           0.03624275           0.01336789
  3     1           0.00329003           0.03685182           0.01359038
  3     2           0.00329003           0.03658254           0.01349095
  3     3           0.00329003           0.03660819           0.01350139
  4    -4           0.00010717           0.00423528           0.00105842
  4    -3           0.00010717           0.00827178           0.00206671
  4    -2           0.00010717           0.00713112           0.00178192
  4    -1           0.00010717           0.00472644           0.00118085
  4     0           0.00010717           0.00390917           0.00097730
  4     1           0.00010717           0.00472644           0.00118085
  4     2           0.00010717           0.00713112           0.00178192
  4     3           0.00010717           0.00827178           0.00206671
  4     4           0.00010717           0.00423528           0.00105842
