Atom: Co, Spin: 1, Partial Phase Shift and DOS at Energy =    0.71906320
Total DOS in Cell and MT Volumes =   28.30519379  27.84989202
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.39784284           0.16103214           0.12607977
  1    -1          -0.02408377           0.17246115           0.11582481
  1     0          -0.02408377           0.17246115           0.11582481
  1     1          -0.02408377           0.17246115           0.11582481
  2    -2           2.72867798           5.55396680           5.53683265
  2    -1           2.72867798           5.12543054           5.10982897
  2     0           2.72867798           5.98250307           5.96383632
  2     1           2.72867798           5.12543054           5.10982897
  2     2           2.72867798           5.55396680           5.53683265
  3    -3           0.00182915           0.03296573           0.01431614
  3    -2           0.00182915           0.03693881           0.01604180
  3    -1           0.00182915           0.04849706           0.02106249
  3     0           0.00182915           0.00966873           0.00419661
  3     1           0.00182915           0.04849706           0.02106249
  3     2           0.00182915           0.03693881           0.01604180
  3     3           0.00182915           0.03296573           0.01431614
  4    -4           0.00005295           0.00497629           0.00154889
  4    -3           0.00005295           0.00248421           0.00077289
  4    -2           0.00005295           0.00604001           0.00188016
  4    -1           0.00005295           0.00388969           0.00121034
  4     0           0.00005295           0.00422810           0.00131622
  4     1           0.00005295           0.00388969           0.00121034
  4     2           0.00005295           0.00604001           0.00188016
  4     3           0.00005295           0.00248421           0.00077289
  4     4           0.00005295           0.00497629           0.00154889
