Atom: Ni, Spin: 1, Partial Phase Shift and DOS at Energy =    0.66936300
Total DOS in Cell and MT Volumes =    8.63871671   7.99185587
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.28285152           0.84216579           0.66920993
  1    -1           0.01729295           0.45352141           0.30737499
  1     0           0.01729295           0.45352141           0.30737499
  1     1           0.01729295           0.45352141           0.30737499
  2    -2           2.82087979           1.27814239           1.27628184
  2    -1           2.82087979           1.27814239           1.27628184
  2     0           2.82087979           1.27814239           1.27628184
  2     1           2.82087979           1.27814239           1.27628184
  2     2           2.82087979           1.27814239           1.27628184
  3    -3           0.00138983           0.00609422           0.00261504
  3    -2           0.00138983           0.00609422           0.00261504
  3    -1           0.00138983           0.00609422           0.00261504
  3     0           0.00138983           0.00609422           0.00261504
  3     1           0.00138983           0.00609422           0.00261504
  3     2           0.00138983           0.00609422           0.00261504
  3     3           0.00138983           0.00609422           0.00261504
  4    -4           0.00003769           0.00029057           0.00008961
  4    -3           0.00003769           0.00029057           0.00008961
  4    -2           0.00003769           0.00029057           0.00008961
  4    -1           0.00003769           0.00029057           0.00008961
  4     0           0.00003769           0.00029057           0.00008961
  4     1           0.00003769           0.00029057           0.00008961
  4     2           0.00003769           0.00029057           0.00008961
  4     3           0.00003769           0.00029057           0.00008961
  4     4           0.00003769           0.00029057           0.00008961
