Atom: Ni, Spin: 1, Partial Phase Shift and DOS at Energy =    0.66936300
Total DOS in Cell and MT Volumes =   52.52982960  52.11997809
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.28285152           0.19022238           0.15114808
  1    -1           0.01729295           0.13239774           0.08969656
  1     0           0.01729295           0.13239774           0.08969656
  1     1           0.01729295           0.13239774           0.08969656
  2    -2           2.82087979           9.77741300           9.76303614
  2    -1           2.82087979          12.56373819          12.54537178
  2     0           2.82087979           6.99108782           6.98070050
  2     1           2.82087979          12.56373819          12.54537178
  2     2           2.82087979           9.77741300           9.76303614
  3    -3           0.00138983           0.02068761           0.00887282
  3    -2           0.00138983           0.02542478           0.01090501
  3    -1           0.00138983           0.03184790           0.01366071
  3     0           0.00138983           0.00394716           0.00169099
  3     1           0.00138983           0.03184790           0.01366071
  3     2           0.00138983           0.02542478           0.01090501
  3     3           0.00138983           0.02068761           0.00887282
  4    -4           0.00003769           0.01332367           0.00410803
  4    -3           0.00003769           0.00619541           0.00191020
  4    -2           0.00003769           0.02267235           0.00699082
  4    -1           0.00003769           0.00422669           0.00130290
  4     0           0.00003769           0.01631982           0.00503202
  4     1           0.00003769           0.00422669           0.00130290
  4     2           0.00003769           0.02267235           0.00699082
  4     3           0.00003769           0.00619541           0.00191020
  4     4           0.00003769           0.01332367           0.00410803
