Atom: Cu, Spin: 1, Partial Phase Shift and DOS at Energy =    0.59250658
Total DOS in Cell and MT Volumes =    4.77478215   4.01955176
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.06350369           1.01147017           0.83806247
  1    -1           0.09097497           0.57305938           0.39988712
  1     0           0.09097497           0.57305938           0.39988712
  1     1           0.09097497           0.57305938           0.39988712
  2    -2           2.99578576           0.40016146           0.39273820
  2    -1           2.99578576           0.40016146           0.39273820
  2     0           2.99578576           0.40016146           0.39273820
  2     1           2.99578576           0.40016146           0.39273820
  2     2           2.99578576           0.40016146           0.39273820
  3    -3           0.00115157           0.00584341           0.00248493
  3    -2           0.00115157           0.00584341           0.00248493
  3    -1           0.00115157           0.00584341           0.00248493
  3     0           0.00115157           0.00584341           0.00248493
  3     1           0.00115157           0.00584341           0.00248493
  3     2           0.00115157           0.00584341           0.00248493
  3     3           0.00115157           0.00584341           0.00248493
  4    -4           0.00003022           0.00026919           0.00008249
  4    -3           0.00003022           0.00026919           0.00008249
  4    -2           0.00003022           0.00026919           0.00008249
  4    -1           0.00003022           0.00026919           0.00008249
  4     0           0.00003022           0.00026919           0.00008249
  4     1           0.00003022           0.00026919           0.00008249
  4     2           0.00003022           0.00026919           0.00008249
  4     3           0.00003022           0.00026919           0.00008249
  4     4           0.00003022           0.00026919           0.00008249
