Atom: Zr, Spin: 1, Partial Phase Shift and DOS at Energy =    0.61064469
Total DOS in Cell and MT Volumes =   19.07449646  15.48595101
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.92053522           0.88341417           0.58210106
  1    -1          -0.37134623           0.47130053           0.25984493
  1     0          -0.37134623           0.47130053           0.25984493
  1     1          -0.37134623           0.47130053           0.25984493
  2    -2           0.79815674           3.30388556           2.80475383
  2    -1           0.79815674           3.30388556           2.80475383
  2     0           0.79815674           3.30388556           2.80475383
  2     1           0.79815674           3.30388556           2.80475383
  2     2           0.79815674           3.30388556           2.80475383
  3    -3           0.00745314           0.03399952           0.01362828
  3    -2           0.00745314           0.03399952           0.01362828
  3    -1           0.00745314           0.03399952           0.01362828
  3     0           0.00745314           0.03399952           0.01362828
  3     1           0.00745314           0.03399952           0.01362828
  3     2           0.00745314           0.03399952           0.01362828
  3     3           0.00745314           0.03399952           0.01362828
  4    -4           0.00025040           0.00219514           0.00057200
  4    -3           0.00025040           0.00219514           0.00057200
  4    -2           0.00025040           0.00219514           0.00057200
  4    -1           0.00025040           0.00219514           0.00057200
  4     0           0.00025040           0.00219514           0.00057200
  4     1           0.00025040           0.00219514           0.00057200
  4     2           0.00025040           0.00219514           0.00057200
  4     3           0.00025040           0.00219514           0.00057200
  4     4           0.00025040           0.00219514           0.00057200
