Atom: Zr, Spin: 1, Partial Phase Shift and DOS at Energy =    0.61064469
Total DOS in Cell and MT Volumes =   17.12794650  13.21915231
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.92053522           0.40080164           0.26398461
  1    -1          -0.37134623           0.93221539           0.51405110
  1     0          -0.37134623           0.93221539           0.51405110
  1     1          -0.37134623           0.93221539           0.51405110
  2    -2           0.79815674           2.38626854           2.02529261
  2    -1           0.79815674           3.51651417           2.98500625
  2     0           0.79815674           1.25602291           1.06557896
  2     1           0.79815674           3.51651417           2.98500625
  2     2           0.79815674           2.38626854           2.02529261
  3    -3           0.00745314           0.09259451           0.03711972
  3    -2           0.00745314           0.11788169           0.04725970
  3    -1           0.00745314           0.12642132           0.05067926
  3     0           0.00745314           0.04185428           0.01678041
  3     1           0.00745314           0.12642132           0.05067926
  3     2           0.00745314           0.11788169           0.04725970
  3     3           0.00745314           0.09259451           0.03711972
  4    -4           0.00025040           0.01358737           0.00354049
  4    -3           0.00025040           0.02299057           0.00599189
  4    -2           0.00025040           0.01676735           0.00437011
  4    -1           0.00025040           0.01948776           0.00507756
  4     0           0.00025040           0.00759495           0.00197977
  4     1           0.00025040           0.01948776           0.00507756
  4     2           0.00025040           0.01676735           0.00437011
  4     3           0.00025040           0.02299057           0.00599189
  4     4           0.00025040           0.01358737           0.00354049
