Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    0.67861645
Total DOS in Cell and MT Volumes =   23.34125142  19.93152907
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.93227841           0.76484978           0.49781855
  1    -1          -0.36525722           0.40929360           0.22464334
  1     0          -0.36525722           0.40929360           0.22464334
  1     1          -0.36525722           0.40929360           0.22464334
  2    -2           1.14263146           4.22619717           3.73484001
  2    -1           1.14263146           4.22619717           3.73484001
  2     0           1.14263146           4.22619717           3.73484001
  2     1           1.14263146           4.22619717           3.73484001
  2     2           1.14263146           4.22619717           3.73484001
  3    -3           0.00749849           0.02876437           0.01162258
  3    -2           0.00749849           0.02876437           0.01162258
  3    -1           0.00749849           0.02876437           0.01162258
  3     0           0.00749849           0.02876437           0.01162258
  3     1           0.00749849           0.02876437           0.01162258
  3     2           0.00749849           0.02876437           0.01162258
  3     3           0.00749849           0.02876437           0.01162258
  4    -4           0.00024369           0.00179826           0.00046915
  4    -3           0.00024369           0.00179826           0.00046915
  4    -2           0.00024369           0.00179826           0.00046915
  4    -1           0.00024369           0.00179826           0.00046915
  4     0           0.00024369           0.00179826           0.00046915
  4     1           0.00024369           0.00179826           0.00046915
  4     2           0.00024369           0.00179826           0.00046915
  4     3           0.00024369           0.00179826           0.00046915
  4     4           0.00024369           0.00179826           0.00046915
