Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    0.67861645
Total DOS in Cell and MT Volumes =   20.22606785  16.02653706
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.93227841           0.74180035           0.48261820
  1    -1          -0.36525722           1.13663395           0.62375191
  1     0          -0.36525722           1.13663395           0.62375191
  1     1          -0.36525722           1.13663395           0.62375191
  2    -2           1.14263146           2.72439152           2.40674635
  2    -1           1.14263146           4.13597195           3.65395175
  2     0           1.14263146           1.31281109           1.15954094
  2     1           1.14263146           4.13597195           3.65395175
  2     2           1.14263146           2.72439152           2.40674635
  3    -3           0.00749849           0.10697407           0.04321590
  3    -2           0.00749849           0.14654428           0.05919939
  3    -1           0.00749849           0.13099203           0.05291574
  3     0           0.00749849           0.07094713           0.02866614
  3     1           0.00749849           0.13099203           0.05291574
  3     2           0.00749849           0.14654428           0.05919939
  3     3           0.00749849           0.10697407           0.04321590
  4    -4           0.00024369           0.01307074           0.00340934
  4    -3           0.00024369           0.03778948           0.00985867
  4    -2           0.00024369           0.02544517           0.00663815
  4    -1           0.00024369           0.01851472           0.00482932
  4     0           0.00024369           0.01121954           0.00292685
  4     1           0.00024369           0.01851472           0.00482932
  4     2           0.00024369           0.02544517           0.00663815
  4     3           0.00024369           0.03778948           0.00985867
  4     4           0.00024369           0.01307074           0.00340934
