Atom: Rh, Spin: 1, Partial Phase Shift and DOS at Energy =    0.66080871
Total DOS in Cell and MT Volumes =    7.44711687   6.71171421
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.60571355           0.79570355           0.59926320
  1    -1          -0.15850009           0.41720796           0.26725358
  1     0          -0.15850009           0.41720796           0.26725358
  1     1          -0.15850009           0.41720796           0.26725358
  2    -2           2.66346158           1.05943820           1.05269666
  2    -1           2.66346158           1.05943820           1.05269666
  2     0           2.66346158           1.05943820           1.05269666
  2     1           2.66346158           1.05943820           1.05269666
  2     2           2.66346158           1.05943820           1.05269666
  3    -3           0.00433389           0.01373269           0.00644563
  3    -2           0.00433389           0.01373269           0.00644563
  3    -1           0.00433389           0.01373269           0.00644563
  3     0           0.00433389           0.01373269           0.00644563
  3     1           0.00433389           0.01373269           0.00644563
  3     2           0.00433389           0.01373269           0.00644563
  3     3           0.00433389           0.01373269           0.00644563
  4    -4           0.00012199           0.00071885           0.00023195
  4    -3           0.00012199           0.00071885           0.00023195
  4    -2           0.00012199           0.00071885           0.00023195
  4    -1           0.00012199           0.00071885           0.00023195
  4     0           0.00012199           0.00071885           0.00023195
  4     1           0.00012199           0.00071885           0.00023195
  4     2           0.00012199           0.00071885           0.00023195
  4     3           0.00012199           0.00071885           0.00023195
  4     4           0.00012199           0.00071885           0.00023195
