Atom: Pd, Spin: 1, Partial Phase Shift and DOS at Energy =    0.51657870
Total DOS in Cell and MT Volumes =   32.26909881  31.77912944
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.39231305           0.26887388           0.20540979
  1    -1          -0.06521955           0.14392621           0.09265120
  1     0          -0.06521955           0.14392621           0.09265120
  1     1          -0.06521955           0.14392621           0.09265120
  2    -2           2.83544797           5.85812150           5.84176061
  2    -1           2.83544797           7.82935088           7.80758252
  2     0           2.83544797           3.88689212           3.87593869
  2     1           2.83544797           7.82935088           7.80758252
  2     2           2.83544797           5.85812150           5.84176061
  3    -3           0.00206080           0.02358666           0.01064011
  3    -2           0.00206080           0.02876096           0.01297500
  3    -1           0.00206080           0.03592409           0.01620784
  3     0           0.00206080           0.00508052           0.00228852
  3     1           0.00206080           0.03592409           0.01620784
  3     2           0.00206080           0.02876096           0.01297500
  3     3           0.00206080           0.02358666           0.01064011
  4    -4           0.00004849           0.01432119           0.00449222
  4    -3           0.00004849           0.00890020           0.00279213
  4    -2           0.00004849           0.02562834           0.00803972
  4    -1           0.00004849           0.00486402           0.00152536
  4     0           0.00004849           0.01755797           0.00550781
  4     1           0.00004849           0.00486402           0.00152536
  4     2           0.00004849           0.02562834           0.00803972
  4     3           0.00004849           0.00890020           0.00279213
  4     4           0.00004849           0.01432119           0.00449222
