Atom: Ag, Spin: 1, Partial Phase Shift and DOS at Energy =    0.50381553
Total DOS in Cell and MT Volumes =    4.25033015   3.30973091
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.18712697           1.16044463           0.94166079
  1    -1           0.02032411           0.63332003           0.42835082
  1     0           0.02032411           0.63332003           0.42835082
  1     1           0.02032411           0.63332003           0.42835082
  2    -2           2.99435785           0.22328156           0.21009895
  2    -1           2.99435785           0.22328156           0.21009895
  2     0           2.99435785           0.22328156           0.21009895
  2     1           2.99435785           0.22328156           0.21009895
  2     2           2.99435785           0.22328156           0.21009895
  3    -3           0.00229545           0.00990352           0.00445784
  3    -2           0.00229545           0.00990352           0.00445784
  3    -1           0.00229545           0.00990352           0.00445784
  3     0           0.00229545           0.00990352           0.00445784
  3     1           0.00229545           0.00990352           0.00445784
  3     2           0.00229545           0.00990352           0.00445784
  3     3           0.00229545           0.00990352           0.00445784
  4    -4           0.00005780           0.00046589           0.00014645
  4    -3           0.00005780           0.00046589           0.00014645
  4    -2           0.00005780           0.00046589           0.00014645
  4    -1           0.00005780           0.00046589           0.00014645
  4     0           0.00005780           0.00046589           0.00014645
  4     1           0.00005780           0.00046589           0.00014645
  4     2           0.00005780           0.00046589           0.00014645
  4     3           0.00005780           0.00046589           0.00014645
  4     4           0.00005780           0.00046589           0.00014645
