Atom: Ag, Spin: 1, Partial Phase Shift and DOS at Energy =    0.50381553
Total DOS in Cell and MT Volumes =    2.83643133   2.17881597
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.18712697           0.60128266           0.48791712
  1    -1           0.02032411           0.49251298           0.33310274
  1     0           0.02032411           0.49251298           0.33310274
  1     1           0.02032411           0.49251298           0.33310274
  2    -2           2.99435785           0.14334395           0.13494608
  2    -1           2.99435785           0.14159796           0.13329888
  2     0           2.99435785           0.14508993           0.13659328
  2     1           2.99435785           0.14159796           0.13329888
  2     2           2.99435785           0.14334395           0.13494608
  3    -3           0.00229545           0.00503654           0.00226465
  3    -2           0.00229545           0.00666516           0.00299711
  3    -1           0.00229545           0.00351871           0.00158140
  3     0           0.00229545           0.00731329           0.00328954
  3     1           0.00229545           0.00351871           0.00158140
  3     2           0.00229545           0.00666516           0.00299711
  3     3           0.00229545           0.00503654           0.00226465
  4    -4           0.00005780           0.00072375           0.00022719
  4    -3           0.00005780           0.00026482           0.00008291
  4    -2           0.00005780           0.00033646           0.00010537
  4    -1           0.00005780           0.00096368           0.00030262
  4     0           0.00005780           0.00030444           0.00009543
  4     1           0.00005780           0.00096368           0.00030262
  4     2           0.00005780           0.00033646           0.00010537
  4     3           0.00005780           0.00026482           0.00008291
  4     4           0.00005780           0.00072375           0.00022719
