Atom: Hf, Spin: 1, Partial Phase Shift and DOS at Energy =    0.64831361
Total DOS in Cell and MT Volumes =   10.17846150   7.68632367
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.94912520           0.22097140           0.14499890
  1    -1          -0.40271087           0.61656451           0.33567079
  1     0          -0.40271087           0.61656451           0.33567079
  1     1          -0.40271087           0.61656451           0.33567079
  2    -2           0.79969094           1.40640399           1.17916072
  2    -1           0.79969094           1.91349424           1.60448215
  2     0           0.79969094           0.89931375           0.75383928
  2     1           0.79969094           1.91349424           1.60448215
  2     2           0.79969094           1.40640399           1.17916072
  3    -3           0.00660907           0.06548205           0.02593712
  3    -2           0.00660907           0.07333425           0.02904763
  3    -1           0.00660907           0.07297464           0.02890340
  3     0           0.00660907           0.05424317           0.02148768
  3     1           0.00660907           0.07297464           0.02890340
  3     2           0.00660907           0.07333425           0.02904763
  3     3           0.00660907           0.06548205           0.02593712
  4    -4           0.00030098           0.00957927           0.00252191
  4    -3           0.00030098           0.01140667           0.00300375
  4    -2           0.00030098           0.00882531           0.00232390
  4    -1           0.00030098           0.01164149           0.00306473
  4     0           0.00030098           0.00795584           0.00209480
  4     1           0.00030098           0.01164149           0.00306473
  4     2           0.00030098           0.00882531           0.00232390
  4     3           0.00030098           0.01140667           0.00300375
  4     4           0.00030098           0.00957927           0.00252191
Atom: Hf, Spin: 2, Partial Phase Shift and DOS at Energy =    0.64831361
Total DOS in Cell and MT Volumes =   10.17846150   7.68632367
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.94912520           0.22097140           0.14499890
  1    -1          -0.40271087           0.61656451           0.33567079
  1     0          -0.40271087           0.61656451           0.33567079
  1     1          -0.40271087           0.61656451           0.33567079
  2    -2           0.79969094           1.40640399           1.17916072
  2    -1           0.79969094           1.91349424           1.60448215
  2     0           0.79969094           0.89931375           0.75383928
  2     1           0.79969094           1.91349424           1.60448215
  2     2           0.79969094           1.40640399           1.17916072
  3    -3           0.00660907           0.06548205           0.02593712
  3    -2           0.00660907           0.07333425           0.02904763
  3    -1           0.00660907           0.07297464           0.02890340
  3     0           0.00660907           0.05424317           0.02148768
  3     1           0.00660907           0.07297464           0.02890340
  3     2           0.00660907           0.07333425           0.02904763
  3     3           0.00660907           0.06548205           0.02593712
  4    -4           0.00030098           0.00957927           0.00252191
  4    -3           0.00030098           0.01140667           0.00300375
  4    -2           0.00030098           0.00882531           0.00232390
  4    -1           0.00030098           0.01164149           0.00306473
  4     0           0.00030098           0.00795584           0.00209480
  4     1           0.00030098           0.01164149           0.00306473
  4     2           0.00030098           0.00882531           0.00232390
  4     3           0.00030098           0.01140667           0.00300375
  4     4           0.00030098           0.00957927           0.00252191
