Atom: Mo, Spin: 1, Partial Phase Shift and DOS at Energy =    0.50908521
Total DOS in Cell and MT Volumes =    5.82866949   5.12918296
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.56821076           0.12692616           0.08839601
  1    -1          -0.16388501           0.15901037           0.08940517
  1     0          -0.16388501           0.15901037           0.08940517
  1     1          -0.16388501           0.15901037           0.08940517
  2    -2           2.11466051           0.90771310           0.86294434
  2    -1           2.11466051           1.25897966           1.19610239
  2     0           2.11466051           0.55644655           0.52978630
  2     1           2.11466051           1.25897966           1.19610239
  2     2           2.11466051           0.90771310           0.86294434
  3    -3           0.00396487           0.04544645           0.01767648
  3    -2           0.00396487           0.03569701           0.01388292
  3    -1           0.00396487           0.03595672           0.01398417
  3     0           0.00396487           0.05968105           0.02321495
  3     1           0.00396487           0.03595672           0.01398417
  3     2           0.00396487           0.03569701           0.01388292
  3     3           0.00396487           0.04544645           0.01767648
  4    -4           0.00010781           0.00306720           0.00077746
  4    -3           0.00010781           0.00684146           0.00173341
  4    -2           0.00010781           0.00562365           0.00142509
  4    -1           0.00010781           0.00351946           0.00089168
  4     0           0.00010781           0.00289519           0.00073434
  4     1           0.00010781           0.00351946           0.00089168
  4     2           0.00010781           0.00562365           0.00142509
  4     3           0.00010781           0.00684146           0.00173341
  4     4           0.00010781           0.00306720           0.00077746
Atom: Mo, Spin: 2, Partial Phase Shift and DOS at Energy =    0.50908521
Total DOS in Cell and MT Volumes =    5.82866949   5.12918296
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.56821076           0.12692616           0.08839601
  1    -1          -0.16388501           0.15901037           0.08940517
  1     0          -0.16388501           0.15901037           0.08940517
  1     1          -0.16388501           0.15901037           0.08940517
  2    -2           2.11466051           0.90771310           0.86294434
  2    -1           2.11466051           1.25897966           1.19610239
  2     0           2.11466051           0.55644655           0.52978630
  2     1           2.11466051           1.25897966           1.19610239
  2     2           2.11466051           0.90771310           0.86294434
  3    -3           0.00396487           0.04544645           0.01767648
  3    -2           0.00396487           0.03569701           0.01388292
  3    -1           0.00396487           0.03595672           0.01398417
  3     0           0.00396487           0.05968105           0.02321495
  3     1           0.00396487           0.03595672           0.01398417
  3     2           0.00396487           0.03569701           0.01388292
  3     3           0.00396487           0.04544645           0.01767648
  4    -4           0.00010781           0.00306720           0.00077746
  4    -3           0.00010781           0.00684146           0.00173341
  4    -2           0.00010781           0.00562365           0.00142509
  4    -1           0.00010781           0.00351946           0.00089168
  4     0           0.00010781           0.00289519           0.00073434
  4     1           0.00010781           0.00351946           0.00089168
  4     2           0.00010781           0.00562365           0.00142509
  4     3           0.00010781           0.00684146           0.00173341
  4     4           0.00010781           0.00306720           0.00077746
