Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    0.55037361
Total DOS in Cell and MT Volumes =   15.39161262  12.30079397
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.74489243           0.47330500           0.31764140
  1    -1          -0.25860132           0.91179252           0.50244769
  1     0          -0.25860132           0.91179252           0.50244769
  1     1          -0.25860132           0.91179252           0.50244769
  2    -2           1.10577960           2.15346311           1.91808859
  2    -1           1.10577960           2.85372370           2.54182995
  2     0           1.10577960           1.45320252           1.29434724
  2     1           1.10577960           2.85372370           2.54182995
  2     2           1.10577960           2.15346311           1.91808859
  3    -3           0.00508331           0.07358154           0.02895420
  3    -2           0.00508331           0.09435782           0.03712795
  3    -1           0.00508331           0.10209093           0.04017087
  3     0           0.00508331           0.03081746           0.01212919
  3     1           0.00508331           0.10209093           0.04017087
  3     2           0.00508331           0.09435782           0.03712795
  3     3           0.00508331           0.07358154           0.02895420
  4    -4           0.00014960           0.00753175           0.00192803
  4    -3           0.00014960           0.02967039           0.00759696
  4    -2           0.00014960           0.02080767           0.00532759
  4    -1           0.00014960           0.01081415           0.00276832
  4     0           0.00014960           0.00682799           0.00174816
  4     1           0.00014960           0.01081415           0.00276832
  4     2           0.00014960           0.02080767           0.00532759
  4     3           0.00014960           0.02967039           0.00759696
  4     4           0.00014960           0.00753175           0.00192803
Atom: Nb, Spin: 2, Partial Phase Shift and DOS at Energy =    0.55037361
Total DOS in Cell and MT Volumes =   15.39161262  12.30079397
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.74489243           0.47330500           0.31764140
  1    -1          -0.25860132           0.91179252           0.50244769
  1     0          -0.25860132           0.91179252           0.50244769
  1     1          -0.25860132           0.91179252           0.50244769
  2    -2           1.10577960           2.15346311           1.91808859
  2    -1           1.10577960           2.85372370           2.54182995
  2     0           1.10577960           1.45320252           1.29434724
  2     1           1.10577960           2.85372370           2.54182995
  2     2           1.10577960           2.15346311           1.91808859
  3    -3           0.00508331           0.07358154           0.02895420
  3    -2           0.00508331           0.09435782           0.03712795
  3    -1           0.00508331           0.10209093           0.04017087
  3     0           0.00508331           0.03081746           0.01212919
  3     1           0.00508331           0.10209093           0.04017087
  3     2           0.00508331           0.09435782           0.03712795
  3     3           0.00508331           0.07358154           0.02895420
  4    -4           0.00014960           0.00753175           0.00192803
  4    -3           0.00014960           0.02967039           0.00759696
  4    -2           0.00014960           0.02080767           0.00532759
  4    -1           0.00014960           0.01081415           0.00276832
  4     0           0.00014960           0.00682799           0.00174816
  4     1           0.00014960           0.01081415           0.00276832
  4     2           0.00014960           0.02080767           0.00532759
  4     3           0.00014960           0.02967039           0.00759696
  4     4           0.00014960           0.00753175           0.00192803
