Atom: Ta, Spin: 1, Partial Phase Shift and DOS at Energy =    0.57571379
Total DOS in Cell and MT Volumes =   13.28653431  11.29435296
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.77427563           0.46801543           0.31415509
  1    -1          -0.29211960           0.23614477           0.12867947
  1     0          -0.29211960           0.23614477           0.12867947
  1     1          -0.29211960           0.23614477           0.12867947
  2    -2           1.09220018           2.40302612           2.11160672
  2    -1           1.09220018           2.40302612           2.11160672
  2     0           1.09220018           2.40302612           2.11160672
  2     1           1.09220018           2.40302612           2.11160672
  2     2           1.09220018           2.40302612           2.11160672
  3    -3           0.00535366           0.01258647           0.00490696
  3    -2           0.00535366           0.01258647           0.00490696
  3    -1           0.00535366           0.01258647           0.00490696
  3     0           0.00535366           0.01258647           0.00490696
  3     1           0.00535366           0.01258647           0.00490696
  3     2           0.00535366           0.01258647           0.00490696
  3     3           0.00535366           0.01258647           0.00490696
  4    -4           0.00019403           0.00076096           0.00019746
  4    -3           0.00019403           0.00076096           0.00019746
  4    -2           0.00019403           0.00076096           0.00019746
  4    -1           0.00019403           0.00076096           0.00019746
  4     0           0.00019403           0.00076096           0.00019746
  4     1           0.00019403           0.00076096           0.00019746
  4     2           0.00019403           0.00076096           0.00019746
  4     3           0.00019403           0.00076096           0.00019746
  4     4           0.00019403           0.00076096           0.00019746
Atom: Ta, Spin: 2, Partial Phase Shift and DOS at Energy =    0.57571379
Total DOS in Cell and MT Volumes =   13.28653431  11.29435296
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.77427563           0.46801543           0.31415509
  1    -1          -0.29211960           0.23614477           0.12867947
  1     0          -0.29211960           0.23614477           0.12867947
  1     1          -0.29211960           0.23614477           0.12867947
  2    -2           1.09220018           2.40302612           2.11160672
  2    -1           1.09220018           2.40302612           2.11160672
  2     0           1.09220018           2.40302612           2.11160672
  2     1           1.09220018           2.40302612           2.11160672
  2     2           1.09220018           2.40302612           2.11160672
  3    -3           0.00535366           0.01258647           0.00490696
  3    -2           0.00535366           0.01258647           0.00490696
  3    -1           0.00535366           0.01258647           0.00490696
  3     0           0.00535366           0.01258647           0.00490696
  3     1           0.00535366           0.01258647           0.00490696
  3     2           0.00535366           0.01258647           0.00490696
  3     3           0.00535366           0.01258647           0.00490696
  4    -4           0.00019403           0.00076096           0.00019746
  4    -3           0.00019403           0.00076096           0.00019746
  4    -2           0.00019403           0.00076096           0.00019746
  4    -1           0.00019403           0.00076096           0.00019746
  4     0           0.00019403           0.00076096           0.00019746
  4     1           0.00019403           0.00076096           0.00019746
  4     2           0.00019403           0.00076096           0.00019746
  4     3           0.00019403           0.00076096           0.00019746
  4     4           0.00019403           0.00076096           0.00019746
