Atom: Ta, Spin: 1, Partial Phase Shift and DOS at Energy =    0.57571379
Total DOS in Cell and MT Volumes =   11.64603297   9.12907652
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.77427563           0.31251406           0.20962387
  1    -1          -0.29211960           0.72245582           0.39359586
  1     0          -0.29211960           0.72245582           0.39359586
  1     1          -0.29211960           0.72245582           0.39359586
  2    -2           1.09220018           1.63284658           1.43418845
  2    -1           1.09220018           2.02547129           1.77909621
  2     0           1.09220018           1.24022187           1.08928069
  2     1           1.09220018           2.02547129           1.77909621
  2     2           1.09220018           1.63284658           1.43418845
  3    -3           0.00535366           0.06502887           0.02534621
  3    -2           0.00535366           0.08024861           0.03127678
  3    -1           0.00535366           0.08722941           0.03399767
  3     0           0.00535366           0.03172806           0.01236903
  3     1           0.00535366           0.08722941           0.03399767
  3     2           0.00535366           0.08024861           0.03127678
  3     3           0.00535366           0.06502887           0.02534621
  4    -4           0.00019403           0.00722520           0.00187433
  4    -3           0.00019403           0.02085215           0.00541140
  4    -2           0.00019403           0.01557770           0.00404235
  4    -1           0.00019403           0.00958993           0.00248786
  4     0           0.00019403           0.00606203           0.00157284
  4     1           0.00019403           0.00958993           0.00248786
  4     2           0.00019403           0.01557770           0.00404235
  4     3           0.00019403           0.02085215           0.00541140
  4     4           0.00019403           0.00722520           0.00187433
Atom: Ta, Spin: 2, Partial Phase Shift and DOS at Energy =    0.57571379
Total DOS in Cell and MT Volumes =   11.64603297   9.12907652
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.77427563           0.31251406           0.20962387
  1    -1          -0.29211960           0.72245582           0.39359586
  1     0          -0.29211960           0.72245582           0.39359586
  1     1          -0.29211960           0.72245582           0.39359586
  2    -2           1.09220018           1.63284658           1.43418845
  2    -1           1.09220018           2.02547129           1.77909621
  2     0           1.09220018           1.24022187           1.08928069
  2     1           1.09220018           2.02547129           1.77909621
  2     2           1.09220018           1.63284658           1.43418845
  3    -3           0.00535366           0.06502887           0.02534621
  3    -2           0.00535366           0.08024861           0.03127678
  3    -1           0.00535366           0.08722941           0.03399767
  3     0           0.00535366           0.03172806           0.01236903
  3     1           0.00535366           0.08722941           0.03399767
  3     2           0.00535366           0.08024861           0.03127678
  3     3           0.00535366           0.06502887           0.02534621
  4    -4           0.00019403           0.00722520           0.00187433
  4    -3           0.00019403           0.02085215           0.00541140
  4    -2           0.00019403           0.01557770           0.00404235
  4    -1           0.00019403           0.00958993           0.00248786
  4     0           0.00019403           0.00606203           0.00157284
  4     1           0.00019403           0.00958993           0.00248786
  4     2           0.00019403           0.01557770           0.00404235
  4     3           0.00019403           0.02085215           0.00541140
  4     4           0.00019403           0.00722520           0.00187433
