Atom: Hf, Spin: 1, Partial Phase Shift and DOS at Energy =    0.64525886
Total DOS in Cell and MT Volumes =    7.90418335   6.27763469
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.96797000           0.39227927           0.25159241
  1    -1          -0.40704378           0.20130640           0.10843204
  1     0          -0.40704378           0.20130640           0.10843204
  1     1          -0.40704378           0.20130640           0.10843204
  2    -2           0.74403849           1.35848507           1.13126854
  2    -1           0.74403849           1.35848507           1.13126854
  2     0           0.74403849           1.35848507           1.13126854
  2     1           0.74403849           1.35848507           1.13126854
  2     2           0.74403849           1.35848507           1.13126854
  3    -3           0.00598784           0.01520730           0.00600220
  3    -2           0.00598784           0.01520730           0.00600220
  3    -1           0.00598784           0.01520730           0.00600220
  3     0           0.00598784           0.01520730           0.00600220
  3     1           0.00598784           0.01520730           0.00600220
  3     2           0.00598784           0.01520730           0.00600220
  3     3           0.00598784           0.01520730           0.00600220
  4    -4           0.00026972           0.00101204           0.00026534
  4    -3           0.00026972           0.00101204           0.00026534
  4    -2           0.00026972           0.00101204           0.00026534
  4    -1           0.00026972           0.00101204           0.00026534
  4     0           0.00026972           0.00101204           0.00026534
  4     1           0.00026972           0.00101204           0.00026534
  4     2           0.00026972           0.00101204           0.00026534
  4     3           0.00026972           0.00101204           0.00026534
  4     4           0.00026972           0.00101204           0.00026534
Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    0.64525886
Total DOS in Cell and MT Volumes =   12.60894683  10.79492116
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.91282949           0.41762250           0.27548771
  1    -1          -0.34476587           0.22761032           0.12452999
  1     0          -0.34476587           0.22761032           0.12452999
  1     1          -0.34476587           0.22761032           0.12452999
  2    -2           1.08080011           2.27843786           2.02020878
  2    -1           1.08080011           2.27843786           2.02020878
  2     0           1.08080011           2.27843786           2.02020878
  2     1           1.08080011           2.27843786           2.02020878
  2     2           1.08080011           2.27843786           2.02020878
  3    -3           0.00637438           0.01533305           0.00606973
  3    -2           0.00637438           0.01533305           0.00606973
  3    -1           0.00637438           0.01533305           0.00606973
  3     0           0.00637438           0.01533305           0.00606973
  3     1           0.00637438           0.01533305           0.00606973
  3     2           0.00637438           0.01533305           0.00606973
  3     3           0.00637438           0.01533305           0.00606973
  4    -4           0.00020202           0.00099697           0.00025683
  4    -3           0.00020202           0.00099697           0.00025683
  4    -2           0.00020202           0.00099697           0.00025683
  4    -1           0.00020202           0.00099697           0.00025683
  4     0           0.00020202           0.00099697           0.00025683
  4     1           0.00020202           0.00099697           0.00025683
  4     2           0.00020202           0.00099697           0.00025683
  4     3           0.00020202           0.00099697           0.00025683
  4     4           0.00020202           0.00099697           0.00025683
Atom: Ta, Spin: 1, Partial Phase Shift and DOS at Energy =    0.64525886
Total DOS in Cell and MT Volumes =   11.63250893   9.82130872
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.88868543           0.42090908           0.27840582
  1    -1          -0.35241664           0.22253724           0.12069892
  1     0          -0.35241664           0.22253724           0.12069892
  1     1          -0.35241664           0.22253724           0.12069892
  2    -2           1.10179522           2.08561166           1.82729471
  2    -1           1.10179522           2.08561166           1.82729471
  2     0           1.10179522           2.08561166           1.82729471
  2     1           1.10179522           2.08561166           1.82729471
  2     2           1.10179522           2.08561166           1.82729471
  3    -3           0.00641762           0.01526373           0.00599389
  3    -2           0.00641762           0.01526373           0.00599389
  3    -1           0.00641762           0.01526373           0.00599389
  3     0           0.00641762           0.01526373           0.00599389
  3     1           0.00641762           0.01526373           0.00599389
  3     2           0.00641762           0.01526373           0.00599389
  3     3           0.00641762           0.01526373           0.00599389
  4    -4           0.00025599           0.00100930           0.00026393
  4    -3           0.00025599           0.00100930           0.00026393
  4    -2           0.00025599           0.00100930           0.00026393
  4    -1           0.00025599           0.00100930           0.00026393
  4     0           0.00025599           0.00100930           0.00026393
  4     1           0.00025599           0.00100930           0.00026393
  4     2           0.00025599           0.00100930           0.00026393
  4     3           0.00025599           0.00100930           0.00026393
  4     4           0.00025599           0.00100930           0.00026393
Atom: Ti, Spin: 1, Partial Phase Shift and DOS at Energy =    0.64525886
Total DOS in Cell and MT Volumes =   10.59079272   9.04403746
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.84012458           0.46169079           0.31894205
  1    -1          -0.25140025           0.27469287           0.15687972
  1     0          -0.25140025           0.27469287           0.15687972
  1     1          -0.25140025           0.27469287           0.15687972
  2    -2           0.58827299           1.84066957           1.64382230
  2    -1           0.58827299           1.84066957           1.64382230
  2     0           0.58827299           1.84066957           1.64382230
  2     1           0.58827299           1.84066957           1.64382230
  2     2           0.58827299           1.84066957           1.64382230
  3    -3           0.00151881           0.01329383           0.00474773
  3    -2           0.00151881           0.01329383           0.00474773
  3    -1           0.00151881           0.01329383           0.00474773
  3     0           0.00151881           0.01329383           0.00474773
  3     1           0.00151881           0.01329383           0.00474773
  3     2           0.00151881           0.01329383           0.00474773
  3     3           0.00151881           0.01329383           0.00474773
  4    -4           0.00002474           0.00095762           0.00023452
  4    -3           0.00002474           0.00095762           0.00023452
  4    -2           0.00002474           0.00095762           0.00023452
  4    -1           0.00002474           0.00095762           0.00023452
  4     0           0.00002474           0.00095762           0.00023452
  4     1           0.00002474           0.00095762           0.00023452
  4     2           0.00002474           0.00095762           0.00023452
  4     3           0.00002474           0.00095762           0.00023452
  4     4           0.00002474           0.00095762           0.00023452
Atom: Zr, Spin: 1, Partial Phase Shift and DOS at Energy =    0.64525886
Total DOS in Cell and MT Volumes =    8.22121767   6.60075772
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.00333558           0.38302065           0.24370103
  1    -1          -0.41313114           0.20189422           0.11002641
  1     0          -0.41313114           0.20189422           0.11002641
  1     1          -0.41313114           0.20189422           0.11002641
  2    -2           0.74035168           1.42270403           1.19610800
  2    -1           0.74035168           1.42270403           1.19610800
  2     0           0.74035168           1.42270403           1.19610800
  2     1           0.74035168           1.42270403           1.19610800
  2     2           0.74035168           1.42270403           1.19610800
  3    -3           0.00733272           0.01570598           0.00629750
  3    -2           0.00733272           0.01570598           0.00629750
  3    -1           0.00733272           0.01570598           0.00629750
  3     0           0.00733272           0.01570598           0.00629750
  3     1           0.00733272           0.01570598           0.00629750
  3     2           0.00733272           0.01570598           0.00629750
  3     3           0.00733272           0.01570598           0.00629750
  4    -4           0.00024354           0.00100582           0.00026166
  4    -3           0.00024354           0.00100582           0.00026166
  4    -2           0.00024354           0.00100582           0.00026166
  4    -1           0.00024354           0.00100582           0.00026166
  4     0           0.00024354           0.00100582           0.00026166
  4     1           0.00024354           0.00100582           0.00026166
  4     2           0.00024354           0.00100582           0.00026166
  4     3           0.00024354           0.00100582           0.00026166
  4     4           0.00024354           0.00100582           0.00026166
