Atom: Hf, Spin: 1, Partial Phase Shift and DOS at Energy =    0.62507215
Total DOS in Cell and MT Volumes =   12.50609392   9.31628794
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.93760199           0.42013726           0.27087771
  1    -1          -0.38841054           0.83351393           0.44885662
  1     0          -0.38841054           0.83351393           0.44885662
  1     1          -0.38841054           0.83351393           0.44885662
  2    -2           0.73663515           1.64410742           1.37059497
  2    -1           0.73663515           2.37638527           1.98128809
  2     0           0.73663515           0.91182957           0.75990184
  2     1           0.73663515           2.37638527           1.98128809
  2     2           0.73663515           1.64410742           1.37059497
  3    -3           0.00576221           0.06846646           0.02692148
  3    -2           0.00576221           0.08871548           0.03488285
  3    -1           0.00576221           0.08813619           0.03465473
  3     0           0.00576221           0.03896186           0.01532161
  3     1           0.00576221           0.08813619           0.03465473
  3     2           0.00576221           0.08871548           0.03488285
  3     3           0.00576221           0.06846646           0.02692148
  4    -4           0.00025305           0.00895907           0.00234242
  4    -3           0.00025305           0.01566381           0.00409601
  4    -2           0.00025305           0.01190136           0.00311213
  4    -1           0.00025305           0.01141456           0.00298434
  4     0           0.00025305           0.00712423           0.00186290
  4     1           0.00025305           0.01141456           0.00298434
  4     2           0.00025305           0.01190136           0.00311213
  4     3           0.00025305           0.01566381           0.00409601
  4     4           0.00025305           0.00895907           0.00234242
Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    0.62507215
Total DOS in Cell and MT Volumes =   12.93015963  10.29009154
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.88490429           0.38915557           0.25784002
  1    -1          -0.32823589           0.75511597           0.41345941
  1     0          -0.32823589           0.75511597           0.41345941
  1     1          -0.32823589           0.75511597           0.41345941
  2    -2           1.07691815           1.78177837           1.58139029
  2    -1           1.07691815           2.51311834           2.23056684
  2     0           1.07691815           1.05043840           0.93221374
  2     1           1.07691815           2.51311834           2.23056684
  2     2           1.07691815           1.78177837           1.58139029
  3    -3           0.00601858           0.06802855           0.02681392
  3    -2           0.00601858           0.08907853           0.03511004
  3    -1           0.00601858           0.08803425           0.03469807
  3     0           0.00601858           0.03802000           0.01498769
  3     1           0.00601858           0.08803425           0.03469807
  3     2           0.00601858           0.08907853           0.03511004
  3     3           0.00601858           0.06802855           0.02681392
  4    -4           0.00018818           0.00887567           0.00227949
  4    -3           0.00018818           0.01696476           0.00435755
  4    -2           0.00018818           0.01272645           0.00326889
  4    -1           0.00018818           0.01147273           0.00294640
  4     0           0.00018818           0.00704241           0.00180886
  4     1           0.00018818           0.01147273           0.00294640
  4     2           0.00018818           0.01272645           0.00326889
  4     3           0.00018818           0.01696476           0.00435755
  4     4           0.00018818           0.00887567           0.00227949
Atom: Ta, Spin: 1, Partial Phase Shift and DOS at Energy =    0.62507215
Total DOS in Cell and MT Volumes =   11.87413243   9.25105559
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.85939182           0.36844827           0.24487684
  1    -1          -0.33515827           0.76043318           0.41287734
  1     0          -0.33515827           0.76043318           0.41287734
  1     1          -0.33515827           0.76043318           0.41287734
  2    -2           1.09800673           1.58900048           1.39362248
  2    -1           1.09800673           2.23329943           1.95876178
  2     0           1.09800673           0.94470153           0.82848318
  2     1           1.09800673           2.23329943           1.95876178
  2     2           1.09800673           1.58900048           1.39362248
  3    -3           0.00610234           0.06782284           0.02653526
  3    -2           0.00610234           0.08872545           0.03471247
