Atom: Hf, Spin: 1, Partial Phase Shift and DOS at Energy =    0.71730325
Total DOS in Cell and MT Volumes =    7.77401830   6.16715438
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.06141669           0.37823554           0.24403672
  1    -1          -0.46712833           0.20723784           0.11238740
  1     0          -0.46712833           0.20723784           0.11238740
  1     1          -0.46712833           0.20723784           0.11238740
  2    -2           0.79259530           1.32370023           1.10517291
  2    -1           0.79259530           1.32370023           1.10517291
  2     0           0.79259530           1.32370023           1.10517291
  2     1           0.79259530           1.32370023           1.10517291
  2     2           0.79259530           1.32370023           1.10517291
  3    -3           0.00713377           0.02026358           0.00806590
  3    -2           0.00713377           0.02026358           0.00806590
  3    -1           0.00713377           0.02026358           0.00806590
  3     0           0.00713377           0.02026358           0.00806590
  3     1           0.00713377           0.02026358           0.00806590
  3     2           0.00713377           0.02026358           0.00806590
  3     3           0.00713377           0.02026358           0.00806590
  4    -4           0.00035753           0.00152478           0.00040329
  4    -3           0.00035753           0.00152478           0.00040329
  4    -2           0.00035753           0.00152478           0.00040329
  4    -1           0.00035753           0.00152478           0.00040329
  4     0           0.00035753           0.00152478           0.00040329
  4     1           0.00035753           0.00152478           0.00040329
  4     2           0.00035753           0.00152478           0.00040329
  4     3           0.00035753           0.00152478           0.00040329
  4     4           0.00035753           0.00152478           0.00040329
Atom: Hf, Spin: 2, Partial Phase Shift and DOS at Energy =    0.71730325
Total DOS in Cell and MT Volumes =    7.77401830   6.16715438
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.06141669           0.37823554           0.24403672
  1    -1          -0.46712833           0.20723784           0.11238740
  1     0          -0.46712833           0.20723784           0.11238740
  1     1          -0.46712833           0.20723784           0.11238740
  2    -2           0.79259530           1.32370023           1.10517291
  2    -1           0.79259530           1.32370023           1.10517291
  2     0           0.79259530           1.32370023           1.10517291
  2     1           0.79259530           1.32370023           1.10517291
  2     2           0.79259530           1.32370023           1.10517291
  3    -3           0.00713377           0.02026358           0.00806590
  3    -2           0.00713377           0.02026358           0.00806590
  3    -1           0.00713377           0.02026358           0.00806590
  3     0           0.00713377           0.02026358           0.00806590
  3     1           0.00713377           0.02026358           0.00806590
  3     2           0.00713377           0.02026358           0.00806590
  3     3           0.00713377           0.02026358           0.00806590
  4    -4           0.00035753           0.00152478           0.00040329
  4    -3           0.00035753           0.00152478           0.00040329
  4    -2           0.00035753           0.00152478           0.00040329
  4    -1           0.00035753           0.00152478           0.00040329
  4     0           0.00035753           0.00152478           0.00040329
  4     1           0.00035753           0.00152478           0.00040329
  4     2           0.00035753           0.00152478           0.00040329
  4     3           0.00035753           0.00152478           0.00040329
  4     4           0.00035753           0.00152478           0.00040329
