Atom: Hf, Spin: 1, Partial Phase Shift and DOS at Energy =    0.71730325
Total DOS in Cell and MT Volumes =   10.68301441   8.02603915
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.06141669           0.21946060           0.14150625
  1    -1          -0.46712833           0.69721876           0.37812564
  1     0          -0.46712833           0.69721876           0.37812564
  1     1          -0.46712833           0.69721876           0.37812564
  2    -2           0.79259530           1.40226999           1.17062114
  2    -1           0.79259530           2.25154572           1.87969185
  2     0           0.79259530           0.55299427           0.46155043
  2     1           0.79259530           2.25154572           1.87969185
  2     2           0.79259530           1.40226999           1.17062114
  3    -3           0.00713377           0.05168797           0.02057470
  3    -2           0.00713377           0.06449790           0.02567424
  3    -1           0.00713377           0.06669676           0.02654962
  3     0           0.00713377           0.02917478           0.01161232
  3     1           0.00713377           0.06669676           0.02654962
  3     2           0.00713377           0.06449790           0.02567424
  3     3           0.00713377           0.05168797           0.02057470
  4    -4           0.00035753           0.00933490           0.00246879
  4    -3           0.00035753           0.01933469           0.00511453
  4    -2           0.00035753           0.01238174           0.00327540
  4    -1           0.00035753           0.01487527           0.00393399
  4     0           0.00035753           0.00447863           0.00118469
  4     1           0.00035753           0.01487527           0.00393399
  4     2           0.00035753           0.01238174           0.00327540
  4     3           0.00035753           0.01933469           0.00511453
  4     4           0.00035753           0.00933490           0.00246879
Atom: Hf, Spin: 2, Partial Phase Shift and DOS at Energy =    0.71730325
Total DOS in Cell and MT Volumes =   10.68301441   8.02603915
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.06141669           0.21946060           0.14150625
  1    -1          -0.46712833           0.69721876           0.37812564
  1     0          -0.46712833           0.69721876           0.37812564
  1     1          -0.46712833           0.69721876           0.37812564
  2    -2           0.79259530           1.40226999           1.17062114
  2    -1           0.79259530           2.25154572           1.87969185
  2     0           0.79259530           0.55299427           0.46155043
  2     1           0.79259530           2.25154572           1.87969185
  2     2           0.79259530           1.40226999           1.17062114
  3    -3           0.00713377           0.05168797           0.02057470
  3    -2           0.00713377           0.06449790           0.02567424
  3    -1           0.00713377           0.06669676           0.02654962
  3     0           0.00713377           0.02917478           0.01161232
  3     1           0.00713377           0.06669676           0.02654962
  3     2           0.00713377           0.06449790           0.02567424
  3     3           0.00713377           0.05168797           0.02057470
  4    -4           0.00035753           0.00933490           0.00246879
  4    -3           0.00035753           0.01933469           0.00511453
  4    -2           0.00035753           0.01238174           0.00327540
  4    -1           0.00035753           0.01487527           0.00393399
  4     0           0.00035753           0.00447863           0.00118469
  4     1           0.00035753           0.01487527           0.00393399
  4     2           0.00035753           0.01238174           0.00327540
  4     3           0.00035753           0.01933469           0.00511453
  4     4           0.00035753           0.00933490           0.00246879
