Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    0.61328142
Total DOS in Cell and MT Volumes =   13.41028048  11.52847606
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.85951974           0.42868038           0.28290674
  1    -1          -0.31581673           0.22682463           0.12406952
  1     0          -0.31581673           0.22682463           0.12406952
  1     1          -0.31581673           0.22682463           0.12406952
  2    -2           1.10049629           2.44000223           2.16687350
  2    -1           1.10049629           2.44000223           2.16687350
  2     0           1.10049629           2.44000223           2.16687350
  2     1           1.10049629           2.44000223           2.16687350
  2     2           1.10049629           2.44000223           2.16687350
  3    -3           0.00599147           0.01339223           0.00529960
  3    -2           0.00599147           0.01339223           0.00529960
  3    -1           0.00599147           0.01339223           0.00529960
  3     0           0.00599147           0.01339223           0.00529960
  3     1           0.00599147           0.01339223           0.00529960
  3     2           0.00599147           0.01339223           0.00529960
  3     3           0.00599147           0.01339223           0.00529960
  4    -4           0.00018683           0.00081883           0.00021067
  4    -3           0.00018683           0.00081883           0.00021067
  4    -2           0.00018683           0.00081883           0.00021067
  4    -1           0.00018683           0.00081883           0.00021067
  4     0           0.00018683           0.00081883           0.00021067
  4     1           0.00018683           0.00081883           0.00021067
  4     2           0.00018683           0.00081883           0.00021067
  4     3           0.00018683           0.00081883           0.00021067
  4     4           0.00018683           0.00081883           0.00021067
Atom: Nb, Spin: 2, Partial Phase Shift and DOS at Energy =    0.61328142
Total DOS in Cell and MT Volumes =   13.41028048  11.52847606
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.85951974           0.42868038           0.28290674
  1    -1          -0.31581673           0.22682463           0.12406952
  1     0          -0.31581673           0.22682463           0.12406952
  1     1          -0.31581673           0.22682463           0.12406952
  2    -2           1.10049629           2.44000223           2.16687350
  2    -1           1.10049629           2.44000223           2.16687350
  2     0           1.10049629           2.44000223           2.16687350
  2     1           1.10049629           2.44000223           2.16687350
  2     2           1.10049629           2.44000223           2.16687350
  3    -3           0.00599147           0.01339223           0.00529960
  3    -2           0.00599147           0.01339223           0.00529960
  3    -1           0.00599147           0.01339223           0.00529960
  3     0           0.00599147           0.01339223           0.00529960
  3     1           0.00599147           0.01339223           0.00529960
  3     2           0.00599147           0.01339223           0.00529960
  3     3           0.00599147           0.01339223           0.00529960
  4    -4           0.00018683           0.00081883           0.00021067
  4    -3           0.00018683           0.00081883           0.00021067
  4    -2           0.00018683           0.00081883           0.00021067
  4    -1           0.00018683           0.00081883           0.00021067
  4     0           0.00018683           0.00081883           0.00021067
  4     1           0.00018683           0.00081883           0.00021067
  4     2           0.00018683           0.00081883           0.00021067
  4     3           0.00018683           0.00081883           0.00021067
  4     4           0.00018683           0.00081883           0.00021067
