Atom: Ti, Spin: 1, Partial Phase Shift and DOS at Energy =    0.53513638
Total DOS in Cell and MT Volumes =   12.45990675  10.79355822
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.59590795           0.52406396           0.36702380
  1    -1          -0.13391660           0.28890356           0.16685557
  1     0          -0.13391660           0.28890356           0.16685557
  1     1          -0.13391660           0.28890356           0.16685557
  2    -2           0.62068124           2.20157124           1.98087244
  2    -1           0.62068124           2.20157124           1.98087244
  2     0           0.62068124           2.20157124           1.98087244
  2     1           0.62068124           2.20157124           1.98087244
  2     2           0.62068124           2.20157124           1.98087244
  3    -3           0.00235747           0.00815678           0.00293969
  3    -2           0.00235747           0.00815678           0.00293969
  3    -1           0.00235747           0.00815678           0.00293969
  3     0           0.00235747           0.00815678           0.00293969
  3     1           0.00235747           0.00815678           0.00293969
  3     2           0.00235747           0.00815678           0.00293969
  3     3           0.00235747           0.00815678           0.00293969
  4    -4           0.00007297           0.00046427           0.00011419
  4    -3           0.00007297           0.00046427           0.00011419
  4    -2           0.00007297           0.00046427           0.00011419
  4    -1           0.00007297           0.00046427           0.00011419
  4     0           0.00007297           0.00046427           0.00011419
  4     1           0.00007297           0.00046427           0.00011419
  4     2           0.00007297           0.00046427           0.00011419
  4     3           0.00007297           0.00046427           0.00011419
  4     4           0.00007297           0.00046427           0.00011419
Atom: Ti, Spin: 2, Partial Phase Shift and DOS at Energy =    0.53513638
Total DOS in Cell and MT Volumes =   12.45990675  10.79355822
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.59590795           0.52406396           0.36702380
  1    -1          -0.13391660           0.28890356           0.16685557
  1     0          -0.13391660           0.28890356           0.16685557
  1     1          -0.13391660           0.28890356           0.16685557
  2    -2           0.62068124           2.20157124           1.98087244
  2    -1           0.62068124           2.20157124           1.98087244
  2     0           0.62068124           2.20157124           1.98087244
  2     1           0.62068124           2.20157124           1.98087244
  2     2           0.62068124           2.20157124           1.98087244
  3    -3           0.00235747           0.00815678           0.00293969
  3    -2           0.00235747           0.00815678           0.00293969
  3    -1           0.00235747           0.00815678           0.00293969
  3     0           0.00235747           0.00815678           0.00293969
  3     1           0.00235747           0.00815678           0.00293969
  3     2           0.00235747           0.00815678           0.00293969
  3     3           0.00235747           0.00815678           0.00293969
  4    -4           0.00007297           0.00046427           0.00011419
  4    -3           0.00007297           0.00046427           0.00011419
  4    -2           0.00007297           0.00046427           0.00011419
  4    -1           0.00007297           0.00046427           0.00011419
  4     0           0.00007297           0.00046427           0.00011419
  4     1           0.00007297           0.00046427           0.00011419
  4     2           0.00007297           0.00046427           0.00011419
  4     3           0.00007297           0.00046427           0.00011419
  4     4           0.00007297           0.00046427           0.00011419
