Atom: Ti, Spin: 1, Partial Phase Shift and DOS at Energy =    0.53513638
Total DOS in Cell and MT Volumes =   18.97864919  15.66841797
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.59590795           0.13599615           0.09513792
  1    -1          -0.13391660           1.11892696           0.64617966
  1     0          -0.13391660           1.11892696           0.64617966
  1     1          -0.13391660           1.11892696           0.64617966
  2    -2           0.62068124           2.72167956           2.44732240
  2    -1           0.62068124           4.07988879           3.66930118
  2     0           0.62068124           1.36347032           1.22534361
  2     1           0.62068124           4.07988879           3.66930118
  2     2           0.62068124           2.72167956           2.44732240
  3    -3           0.00235747           0.05525621           0.01991428
  3    -2           0.00235747           0.06774396           0.02441572
  3    -1           0.00235747           0.07813891           0.02816091
  3     0           0.00235747           0.02093215           0.00754434
  3     1           0.00235747           0.07813891           0.02816091
  3     2           0.00235747           0.06774396           0.02441572
  3     3           0.00235747           0.05525621           0.01991428
  4    -4           0.00007297           0.01148417           0.00282436
  4    -3           0.00007297           0.01028250           0.00252906
  4    -2           0.00007297           0.00659988           0.00162338
  4    -1           0.00007297           0.01749395           0.00430221
  4     0           0.00007297           0.00433381           0.00106610
  4     1           0.00007297           0.01749395           0.00430221
  4     2           0.00007297           0.00659988           0.00162338
  4     3           0.00007297           0.01028250           0.00252906
  4     4           0.00007297           0.01148417           0.00282436
Atom: Ti, Spin: 2, Partial Phase Shift and DOS at Energy =    0.53513638
Total DOS in Cell and MT Volumes =   18.97864919  15.66841797
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.59590795           0.13599615           0.09513792
  1    -1          -0.13391660           1.11892696           0.64617966
  1     0          -0.13391660           1.11892696           0.64617966
  1     1          -0.13391660           1.11892696           0.64617966
  2    -2           0.62068124           2.72167956           2.44732240
  2    -1           0.62068124           4.07988879           3.66930118
  2     0           0.62068124           1.36347032           1.22534361
  2     1           0.62068124           4.07988879           3.66930118
  2     2           0.62068124           2.72167956           2.44732240
  3    -3           0.00235747           0.05525621           0.01991428
  3    -2           0.00235747           0.06774396           0.02441572
  3    -1           0.00235747           0.07813891           0.02816091
  3     0           0.00235747           0.02093215           0.00754434
  3     1           0.00235747           0.07813891           0.02816091
  3     2           0.00235747           0.06774396           0.02441572
  3     3           0.00235747           0.05525621           0.01991428
  4    -4           0.00007297           0.01148417           0.00282436
  4    -3           0.00007297           0.01028250           0.00252906
  4    -2           0.00007297           0.00659988           0.00162338
  4    -1           0.00007297           0.01749395           0.00430221
  4     0           0.00007297           0.00433381           0.00106610
  4     1           0.00007297           0.01749395           0.00430221
  4     2           0.00007297           0.00659988           0.00162338
  4     3           0.00007297           0.01028250           0.00252906
  4     4           0.00007297           0.01148417           0.00282436
