Atom: Zr, Spin: 1, Partial Phase Shift and DOS at Energy =    0.70627555
Total DOS in Cell and MT Volumes =    8.32538186   6.70195049
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.07458415           0.37458721           0.24017923
  1    -1          -0.46165316           0.20861286           0.11458730
  1     0          -0.46165316           0.20861286           0.11458730
  1     1          -0.46165316           0.20861286           0.11458730
  2    -2           0.80938789           1.43410597           1.21145948
  2    -1           0.80938789           1.43410597           1.21145948
  2     0           0.80938789           1.43410597           1.21145948
  2     1           0.80938789           1.43410597           1.21145948
  2     2           0.80938789           1.43410597           1.21145948
  3    -3           0.00901414           0.02022134           0.00818992
  3    -2           0.00901414           0.02022134           0.00818992
  3    -1           0.00901414           0.02022134           0.00818992
  3     0           0.00901414           0.02022134           0.00818992
  3     1           0.00901414           0.02022134           0.00818992
  3     2           0.00901414           0.02022134           0.00818992
  3     3           0.00901414           0.02022134           0.00818992
  4    -4           0.00032106           0.00143076           0.00037583
  4    -3           0.00032106           0.00143076           0.00037583
  4    -2           0.00032106           0.00143076           0.00037583
  4    -1           0.00032106           0.00143076           0.00037583
  4     0           0.00032106           0.00143076           0.00037583
  4     1           0.00032106           0.00143076           0.00037583
  4     2           0.00032106           0.00143076           0.00037583
  4     3           0.00032106           0.00143076           0.00037583
  4     4           0.00032106           0.00143076           0.00037583
Atom: Zr, Spin: 2, Partial Phase Shift and DOS at Energy =    0.70627555
Total DOS in Cell and MT Volumes =    8.32538186   6.70195049
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.07458415           0.37458721           0.24017923
  1    -1          -0.46165316           0.20861286           0.11458730
  1     0          -0.46165316           0.20861286           0.11458730
  1     1          -0.46165316           0.20861286           0.11458730
  2    -2           0.80938789           1.43410597           1.21145948
  2    -1           0.80938789           1.43410597           1.21145948
  2     0           0.80938789           1.43410597           1.21145948
  2     1           0.80938789           1.43410597           1.21145948
  2     2           0.80938789           1.43410597           1.21145948
  3    -3           0.00901414           0.02022134           0.00818992
  3    -2           0.00901414           0.02022134           0.00818992
  3    -1           0.00901414           0.02022134           0.00818992
  3     0           0.00901414           0.02022134           0.00818992
  3     1           0.00901414           0.02022134           0.00818992
  3     2           0.00901414           0.02022134           0.00818992
  3     3           0.00901414           0.02022134           0.00818992
  4    -4           0.00032106           0.00143076           0.00037583
  4    -3           0.00032106           0.00143076           0.00037583
  4    -2           0.00032106           0.00143076           0.00037583
  4    -1           0.00032106           0.00143076           0.00037583
  4     0           0.00032106           0.00143076           0.00037583
  4     1           0.00032106           0.00143076           0.00037583
  4     2           0.00032106           0.00143076           0.00037583
  4     3           0.00032106           0.00143076           0.00037583
  4     4           0.00032106           0.00143076           0.00037583
