Atom: Zr, Spin: 1, Partial Phase Shift and DOS at Energy =    0.70627555
Total DOS in Cell and MT Volumes =   10.29951941   7.75482000
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.07458415           0.44374902           0.28447832
  1    -1          -0.46165316           0.67865411           0.37281085
  1     0          -0.46165316           0.67865411           0.37281085
  1     1          -0.46165316           0.67865411           0.37281085
  2    -2           0.80938789           1.33640770           1.12879253
  2    -1           0.80938789           1.92677988           1.62749067
  2     0           0.80938789           0.74603553           0.63009440
  2     1           0.80938789           1.92677988           1.62749067
  2     2           0.80938789           1.33640770           1.12879253
  3    -3           0.00901414           0.05613936           0.02273952
  3    -2           0.00901414           0.08276501           0.03352509
  3    -1           0.00901414           0.08317344           0.03369002
  3     0           0.00901414           0.01558824           0.00631378
  3     1           0.00901414           0.08317344           0.03369002
  3     2           0.00901414           0.08276501           0.03352509
  3     3           0.00901414           0.05613936           0.02273952
  4    -4           0.00032106           0.00775085           0.00203585
  4    -3           0.00032106           0.01291895           0.00339385
  4    -2           0.00032106           0.01042590           0.00273907
  4    -1           0.00032106           0.01019071           0.00267643
  4     0           0.00032106           0.00508071           0.00133489
  4     1           0.00032106           0.01019071           0.00267643
  4     2           0.00032106           0.01042590           0.00273907
  4     3           0.00032106           0.01291895           0.00339385
  4     4           0.00032106           0.00775085           0.00203585
Atom: Zr, Spin: 2, Partial Phase Shift and DOS at Energy =    0.70627555
Total DOS in Cell and MT Volumes =   10.29951941   7.75482000
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.07458415           0.44374902           0.28447832
  1    -1          -0.46165316           0.67865411           0.37281085
  1     0          -0.46165316           0.67865411           0.37281085
  1     1          -0.46165316           0.67865411           0.37281085
  2    -2           0.80938789           1.33640770           1.12879253
  2    -1           0.80938789           1.92677988           1.62749067
  2     0           0.80938789           0.74603553           0.63009440
  2     1           0.80938789           1.92677988           1.62749067
  2     2           0.80938789           1.33640770           1.12879253
  3    -3           0.00901414           0.05613936           0.02273952
  3    -2           0.00901414           0.08276501           0.03352509
  3    -1           0.00901414           0.08317344           0.03369002
  3     0           0.00901414           0.01558824           0.00631378
  3     1           0.00901414           0.08317344           0.03369002
  3     2           0.00901414           0.08276501           0.03352509
  3     3           0.00901414           0.05613936           0.02273952
  4    -4           0.00032106           0.00775085           0.00203585
  4    -3           0.00032106           0.01291895           0.00339385
  4    -2           0.00032106           0.01042590           0.00273907
  4    -1           0.00032106           0.01019071           0.00267643
  4     0           0.00032106           0.00508071           0.00133489
  4     1           0.00032106           0.01019071           0.00267643
  4     2           0.00032106           0.01042590           0.00273907
  4     3           0.00032106           0.01291895           0.00339385
  4     4           0.00032106           0.00775085           0.00203585
