Atom: Hf, Spin: 1, Partial Phase Shift and DOS at Energy =    0.68623963
Total DOS in Cell and MT Volumes =   11.14950998   8.26771135
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.01342935           0.48352893           0.30647235
  1    -1          -0.44241983           0.74118074           0.40211733
  1     0          -0.44241983           0.74118074           0.40211733
  1     1          -0.44241983           0.74118074           0.40211733
  2    -2           0.78490184           1.43622939           1.19349653
  2    -1           0.78490184           2.12425274           1.76540951
  2     0           0.78490184           0.74820605           0.62158355
  2     1           0.78490184           2.12425274           1.76540951
  2     2           0.78490184           1.43622939           1.19349653
  3    -3           0.00669267           0.05937097           0.02379564
  3    -2           0.00669267           0.08191199           0.03282948
  3    -1           0.00669267           0.07456557           0.02988468
  3     0           0.00669267           0.03657907           0.01466207
  3     1           0.00669267           0.07456557           0.02988468
  3     2           0.00669267           0.08191199           0.03282948
  3     3           0.00669267           0.05937097           0.02379564
  4    -4           0.00031327           0.00775840           0.00205479
  4    -3           0.00031327           0.01827626           0.00484122
  4    -2           0.00031327           0.01271817           0.00336889
  4    -1           0.00031327           0.01048126           0.00277591
  4     0           0.00031327           0.00652422           0.00172811
  4     1           0.00031327           0.01048126           0.00277591
  4     2           0.00031327           0.01271817           0.00336889
  4     3           0.00031327           0.01827626           0.00484122
  4     4           0.00031327           0.00775840           0.00205479
Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    0.68623963
Total DOS in Cell and MT Volumes =   11.60955001   9.09789893
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.94813978           0.45360878           0.29666531
  1    -1          -0.37294946           0.76307298           0.41901097
  1     0          -0.37294946           0.76307298           0.41901097
  1     1          -0.37294946           0.76307298           0.41901097
  2    -2           1.12309808           1.52702907           1.34948448
  2    -1           1.12309808           2.18369671           1.92983327
  2     0           1.12309808           0.87036143           0.76913570
  2     1           1.12309808           2.18369671           1.92983327
  2     2           1.12309808           1.52702907           1.34948448
  3    -3           0.00750139           0.05925494           0.02384855
  3    -2           0.00750139           0.08279209           0.03332105
  3    -1           0.00750139           0.07483709           0.03011888
  3     0           0.00750139           0.03588172           0.01444307
  3     1           0.00750139           0.07483709           0.03011888
  3     2           0.00750139           0.08279209           0.03332105
  3     3           0.00750139           0.05925494           0.02384855
  4    -4           0.00024461           0.00764492           0.00199054
  4    -3           0.00024461           0.01851513           0.00482162
  4    -2           0.00024461           0.01287471           0.00335273
  4    -1           0.00024461           0.01041069           0.00271066
  4     0           0.00024461           0.00636843           0.00165835
  4     1           0.00024461           0.01041069           0.00271066
  4     2           0.00024461           0.01287471           0.00335273
  4     3           0.00024461           0.01851513           0.00482162
  4     4           0.00024461           0.00764492           0.00199054
Atom: Ta, Spin: 1, Partial Phase Shift and DOS at Energy =    0.68623963
Total DOS in Cell and MT Volumes =   10.69742126   8.21278118
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.93051206           0.43876765           0.28696957
  1    -1          -0.38391978           0.75831419           0.41185105
  1     0          -0.38391978           0.75831419           0.41185105
  1     1          -0.38391978           0.75831419           0.41185105
  2    -2           1.14761587           1.36654848           1.19421050
  2    -1           1.14761587           1.94498469           1.69971304
  2     0           1.14761587           0.78811226           0.68870797
  2     1           1.14761587           1.94498469           1.69971304
  2     2           1.14761587           1.36654848           1.19421050
  3    -3           0.00732081           0.05883657           0.02342689
  3    -2           0.00732081           0.08205635           0.03267174
  3    -1           0.00732081           0.07425418           0.02956471
  3     0           0.00732081           0.03571017           0.01422015
  3     1           0.00732081           0.07425418           0.02956471
  3     2           0.00732081           0.08205635           0.03267174
  3     3           0.00732081           0.05883657           0.02342689
  4    -4           0.00030109           0.00772652           0.00204201
  4    -3           0.00030109           0.01875221           0.00495672
  4    -2           0.00030109           0.01304160           0.00344721
  4    -1           0.00030109           0.01053306           0.00278371
  4     0           0.00030109           0.00642133           0.00169725
  4     1           0.00030109           0.01053306           0.00278371
  4     2           0.00030109           0.01304160           0.00344721
  4     3           0.00030109           0.01875221           0.00495672
  4     4           0.00030109           0.00772652           0.00204201
Atom: Ti, Spin: 1, Partial Phase Shift and DOS at Energy =    0.68623963
Total DOS in Cell and MT Volumes =   15.32646833  12.62629975
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.87493011           0.43440519           0.29768361
  1    -1          -0.27369961           0.67842053           0.38698626
  1     0          -0.27369961           0.67842053           0.38698626
  1     1          -0.27369961           0.67842053           0.38698626
  2    -2           0.61675251           2.27284022           2.02360399
  2    -1           0.61675251           3.25802143           2.90131360
  2     0           0.61675251           1.28765901           1.14589438
  2     1           0.61675251           3.25802143           2.90131360
  2     2           0.61675251           2.27284022           2.02360399
  3    -3           0.00182881           0.05148257           0.01856441
  3    -2           0.00182881           0.07305566           0.02634320
  3    -1           0.00182881           0.06602718           0.02380843
  3     0           0.00182881           0.02966566           0.01069837
  3     1           0.00182881           0.06602718           0.02380843
  3     2           0.00182881           0.07305566           0.02634320
  3     3           0.00182881           0.05148257           0.01856441
  4    -4           0.00003215           0.00723875           0.00178267
  4    -3           0.00003215           0.01665682           0.00410270
  4    -2           0.00003215           0.01162918           0.00286432
  4    -1           0.00003215           0.00982763           0.00242021
  4     0           0.00003215           0.00591796           0.00145755
  4     1           0.00003215           0.00982763           0.00242021
  4     2           0.00003215           0.01162918           0.00286432
  4     3           0.00003215           0.01665682           0.00410270
  4     4           0.00003215           0.00723875           0.00178267
Atom: Zr, Spin: 1, Partial Phase Shift and DOS at Energy =    0.68623963
Total DOS in Cell and MT Volumes =   11.58781982   8.69347571
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.04515571           0.50692472           0.31950666
  1    -1          -0.44737668           0.74972686           0.41317256
  1     0          -0.44737668           0.74972686           0.41317256
  1     1          -0.44737668           0.74972686           0.41317256
  2    -2           0.77719512           1.50510741           1.26146216
  2    -1           0.77719512           2.22499148           1.86500240
  2     0           0.77719512           0.78522334           0.65792192
  2     1           0.77719512           2.22499148           1.86500240
  2     2           0.77719512           1.50510741           1.26146216
  3    -3           0.00846121           0.06115908           0.02489546
  3    -2           0.00846121           0.08420617           0.03427634
  3    -1           0.00846121           0.07655728           0.03116230
  3     0           0.00846121           0.03806178           0.01549520
  3     1           0.00846121           0.07655728           0.03116230
  3     2           0.00846121           0.08420617           0.03427634
  3     3           0.00846121           0.06115908           0.02489546
  4    -4           0.00028715           0.00773327           0.00203241
  4    -3           0.00028715           0.01814376           0.00476922
  4    -2           0.00028715           0.01262755           0.00331920
  4    -1           0.00028715           0.01041881           0.00273819
  4     0           0.00028715           0.00653975           0.00171893
  4     1           0.00028715           0.01041881           0.00273819
  4     2           0.00028715           0.01262755           0.00331920
  4     3           0.00028715           0.01814376           0.00476922
  4     4           0.00028715           0.00773327           0.00203241
Atom: Hf, Spin: 2, Partial Phase Shift and DOS at Energy =    0.68623963
Total DOS in Cell and MT Volumes =   11.14950998   8.26771135
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.01342935           0.48352893           0.30647235
  1    -1          -0.44241983           0.74118074           0.40211733
  1     0          -0.44241983           0.74118074           0.40211733
  1     1          -0.44241983           0.74118074           0.40211733
  2    -2           0.78490184           1.43622939           1.19349653
  2    -1           0.78490184           2.12425274           1.76540951
  2     0           0.78490184           0.74820605           0.62158355
  2     1           0.78490184           2.12425274           1.76540951
  2     2           0.78490184           1.43622939           1.19349653
  3    -3           0.00669267           0.05937097           0.02379564
  3    -2           0.00669267           0.08191199           0.03282948
  3    -1           0.00669267           0.07456557           0.02988468
  3     0           0.00669267           0.03657907           0.01466207
  3     1           0.00669267           0.07456557           0.02988468
  3     2           0.00669267           0.08191199           0.03282948
  3     3           0.00669267           0.05937097           0.02379564
  4    -4           0.00031327           0.00775840           0.00205479
  4    -3           0.00031327           0.01827626           0.00484122
  4    -2           0.00031327           0.01271817           0.00336889
  4    -1           0.00031327           0.01048126           0.00277591
  4     0           0.00031327           0.00652422           0.00172811
  4     1           0.00031327           0.01048126           0.00277591
  4     2           0.00031327           0.01271817           0.00336889
  4     3           0.00031327           0.01827626           0.00484122
  4     4           0.00031327           0.00775840           0.00205479
Atom: Nb, Spin: 2, Partial Phase Shift and DOS at Energy =    0.68623963
Total DOS in Cell and MT Volumes =   11.60955001   9.09789893
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.94813978           0.45360878           0.29666531
  1    -1          -0.37294946           0.76307298           0.41901097
  1     0          -0.37294946           0.76307298           0.41901097
  1     1          -0.37294946           0.76307298           0.41901097
  2    -2           1.12309808           1.52702907           1.34948448
  2    -1           1.12309808           2.18369671           1.92983327
  2     0           1.12309808           0.87036143           0.76913570
  2     1           1.12309808           2.18369671           1.92983327
  2     2           1.12309808           1.52702907           1.34948448
  3    -3           0.00750139           0.05925494           0.02384855
  3    -2           0.00750139           0.08279209           0.03332105
  3    -1           0.00750139           0.07483709           0.03011888
  3     0           0.00750139           0.03588172           0.01444307
  3     1           0.00750139           0.07483709           0.03011888
  3     2           0.00750139           0.08279209           0.03332105
  3     3           0.00750139           0.05925494           0.02384855
  4    -4           0.00024461           0.00764492           0.00199054
  4    -3           0.00024461           0.01851513           0.00482162
  4    -2           0.00024461           0.01287471           0.00335273
  4    -1           0.00024461           0.01041069           0.00271066
  4     0           0.00024461           0.00636843           0.00165835
  4     1           0.00024461           0.01041069           0.00271066
  4     2           0.00024461           0.01287471           0.00335273
  4     3           0.00024461           0.01851513           0.00482162
  4     4           0.00024461           0.00764492           0.00199054
Atom: Ta, Spin: 2, Partial Phase Shift and DOS at Energy =    0.68623963
Total DOS in Cell and MT Volumes =   10.69742126   8.21278118
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.93051206           0.43876765           0.28696957
  1    -1          -0.38391978           0.75831419           0.41185105
  1     0          -0.38391978           0.75831419           0.41185105
  1     1          -0.38391978           0.75831419           0.41185105
  2    -2           1.14761587           1.36654848           1.19421050
  2    -1           1.14761587           1.94498469           1.69971304
  2     0           1.14761587           0.78811226           0.68870797
  2     1           1.14761587           1.94498469           1.69971304
  2     2           1.14761587           1.36654848           1.19421050
  3    -3           0.00732081           0.05883657           0.02342689
  3    -2           0.00732081           0.08205635           0.03267174
  3    -1           0.00732081           0.07425418           0.02956471
  3     0           0.00732081           0.03571017           0.01422015
  3     1           0.00732081           0.07425418           0.02956471
  3     2           0.00732081           0.08205635           0.03267174
  3     3           0.00732081           0.05883657           0.02342689
  4    -4           0.00030109           0.00772652           0.00204201
  4    -3           0.00030109           0.01875221           0.00495672
  4    -2           0.00030109           0.01304160           0.00344721
  4    -1           0.00030109           0.01053306           0.00278371
  4     0           0.00030109           0.00642133           0.00169725
  4     1           0.00030109           0.01053306           0.00278371
  4     2           0.00030109           0.01304160           0.00344721
  4     3           0.00030109           0.01875221           0.00495672
  4     4           0.00030109           0.00772652           0.00204201
Atom: Ti, Spin: 2, Partial Phase Shift and DOS at Energy =    0.68623963
Total DOS in Cell and MT Volumes =   15.32646833  12.62629975
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.87493011           0.43440519           0.29768361
  1    -1          -0.27369961           0.67842053           0.38698626
  1     0          -0.27369961           0.67842053           0.38698626
  1     1          -0.27369961           0.67842053           0.38698626
  2    -2           0.61675251           2.27284022           2.02360399
  2    -1           0.61675251           3.25802143           2.90131360
  2     0           0.61675251           1.28765901           1.14589438
  2     1           0.61675251           3.25802143           2.90131360
  2     2           0.61675251           2.27284022           2.02360399
  3    -3           0.00182881           0.05148257           0.01856441
  3    -2           0.00182881           0.07305566           0.02634320
  3    -1           0.00182881           0.06602718           0.02380843
  3     0           0.00182881           0.02966566           0.01069837
  3     1           0.00182881           0.06602718           0.02380843
  3     2           0.00182881           0.07305566           0.02634320
  3     3           0.00182881           0.05148257           0.01856441
  4    -4           0.00003215           0.00723875           0.00178267
  4    -3           0.00003215           0.01665682           0.00410270
  4    -2           0.00003215           0.01162918           0.00286432
  4    -1           0.00003215           0.00982763           0.00242021
  4     0           0.00003215           0.00591796           0.00145755
  4     1           0.00003215           0.00982763           0.00242021
  4     2           0.00003215           0.01162918           0.00286432
  4     3           0.00003215           0.01665682           0.00410270
  4     4           0.00003215           0.00723875           0.00178267
Atom: Zr, Spin: 2, Partial Phase Shift and DOS at Energy =    0.68623963
Total DOS in Cell and MT Volumes =   11.58781982   8.69347571
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.04515571           0.50692472           0.31950666
  1    -1          -0.44737668           0.74972686           0.41317256
  1     0          -0.44737668           0.74972686           0.41317256
  1     1          -0.44737668           0.74972686           0.41317256
  2    -2           0.77719512           1.50510741           1.26146216
  2    -1           0.77719512           2.22499148           1.86500240
  2     0           0.77719512           0.78522334           0.65792192
  2     1           0.77719512           2.22499148           1.86500240
  2     2           0.77719512           1.50510741           1.26146216
  3    -3           0.00846121           0.06115908           0.02489546
  3    -2           0.00846121           0.08420617           0.03427634
  3    -1           0.00846121           0.07655728           0.03116230
  3     0           0.00846121           0.03806178           0.01549520
  3     1           0.00846121           0.07655728           0.03116230
  3     2           0.00846121           0.08420617           0.03427634
  3     3           0.00846121           0.06115908           0.02489546
  4    -4           0.00028715           0.00773327           0.00203241
  4    -3           0.00028715           0.01814376           0.00476922
  4    -2           0.00028715           0.01262755           0.00331920
  4    -1           0.00028715           0.01041881           0.00273819
  4     0           0.00028715           0.00653975           0.00171893
  4     1           0.00028715           0.01041881           0.00273819
  4     2           0.00028715           0.01262755           0.00331920
  4     3           0.00028715           0.01814376           0.00476922
  4     4           0.00028715           0.00773327           0.00203241
