Atom: Hf, Spin: 1, Partial Phase Shift and DOS at Energy =    0.66375189
Total DOS in Cell and MT Volumes =    7.79159823   6.19615633
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.98139640           0.37514859           0.23920378
  1    -1          -0.42225328           0.19030496           0.10310211
  1     0          -0.42225328           0.19030496           0.10310211
  1     1          -0.42225328           0.19030496           0.10310211
  2    -2           0.77714633           1.34659040           1.12077708
  2    -1           0.77714633           1.34659040           1.12077708
  2     0           0.77714633           1.34659040           1.12077708
  2     1           0.77714633           1.34659040           1.12077708
  2     2           0.77714633           1.34659040           1.12077708
  3    -3           0.00642152           0.01483077           0.00592073
  3    -2           0.00642152           0.01483077           0.00592073
  3    -1           0.00642152           0.01483077           0.00592073
  3     0           0.00642152           0.01483077           0.00592073
  3     1           0.00642152           0.01483077           0.00592073
  3     2           0.00642152           0.01483077           0.00592073
  3     3           0.00642152           0.01483077           0.00592073
  4    -4           0.00029204           0.00097415           0.00025731
  4    -3           0.00029204           0.00097415           0.00025731
  4    -2           0.00029204           0.00097415           0.00025731
  4    -1           0.00029204           0.00097415           0.00025731
  4     0           0.00029204           0.00097415           0.00025731
  4     1           0.00029204           0.00097415           0.00025731
  4     2           0.00029204           0.00097415           0.00025731
  4     3           0.00029204           0.00097415           0.00025731
  4     4           0.00029204           0.00097415           0.00025731
Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    0.66375189
Total DOS in Cell and MT Volumes =   12.09027879  10.33343845
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.91832444           0.40220114           0.26442384
  1    -1          -0.35485268           0.21737623           0.11939980
  1     0          -0.35485268           0.21737623           0.11939980
  1     1          -0.35485268           0.21737623           0.11939980
  2    -2           1.11762671           2.18442790           1.93328496
  2    -1           1.11762671           2.18442790           1.93328496
  2     0           1.11762671           2.18442790           1.93328496
  2     1           1.11762671           2.18442790           1.93328496
  2     2           1.11762671           2.18442790           1.93328496
  3    -3           0.00705764           0.01502437           0.00602111
  3    -2           0.00705764           0.01502437           0.00602111
  3    -1           0.00705764           0.01502437           0.00602111
  3     0           0.00705764           0.01502437           0.00602111
  3     1           0.00705764           0.01502437           0.00602111
  3     2           0.00705764           0.01502437           0.00602111
  3     3           0.00705764           0.01502437           0.00602111
  4    -4           0.00022662           0.00095987           0.00024918
  4    -3           0.00022662           0.00095987           0.00024918
  4    -2           0.00022662           0.00095987           0.00024918
  4    -1           0.00022662           0.00095987           0.00024918
  4     0           0.00022662           0.00095987           0.00024918
  4     1           0.00022662           0.00095987           0.00024918
  4     2           0.00022662           0.00095987           0.00024918
  4     3           0.00022662           0.00095987           0.00024918
  4     4           0.00022662           0.00095987           0.00024918
Atom: Ta, Spin: 1, Partial Phase Shift and DOS at Energy =    0.66375189
Total DOS in Cell and MT Volumes =   11.19593594   9.44550370
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.89957018           0.40351742           0.26540079
  1    -1          -0.36517969           0.21098195           0.11464310
  1     0          -0.36517969           0.21098195           0.11464310
  1     1          -0.36517969           0.21098195           0.11464310
  2    -2           1.14239987           2.00929429           1.75850223
  2    -1           1.14239987           2.00929429           1.75850223
  2     0           1.14239987           2.00929429           1.75850223
  2     1           1.14239987           2.00929429           1.75850223
  2     2           1.14239987           2.00929429           1.75850223
  3    -3           0.00693666           0.01489392           0.00590842
  3    -2           0.00693666           0.01489392           0.00590842
  3    -1           0.00693666           0.01489392           0.00590842
  3     0           0.00693666           0.01489392           0.00590842
  3     1           0.00693666           0.01489392           0.00590842
  3     2           0.00693666           0.01489392           0.00590842
  3     3           0.00693666           0.01489392           0.00590842
  4    -4           0.00027866           0.00097153           0.00025595
  4    -3           0.00027866           0.00097153           0.00025595
  4    -2           0.00027866           0.00097153           0.00025595
  4    -1           0.00027866           0.00097153           0.00025595
  4     0           0.00027866           0.00097153           0.00025595
  4     1           0.00027866           0.00097153           0.00025595
  4     2           0.00027866           0.00097153           0.00025595
  4     3           0.00027866           0.00097153           0.00025595
  4     4           0.00027866           0.00097153           0.00025595
Atom: Ti, Spin: 1, Partial Phase Shift and DOS at Energy =    0.66375189
Total DOS in Cell and MT Volumes =   10.39377530   8.87416240
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.84727134           0.44475855           0.30620150
  1    -1          -0.25883087           0.26323152           0.15043171
  1     0          -0.25883087           0.26323152           0.15043171
  1     1          -0.25883087           0.26323152           0.15043171
  2    -2           0.61099417           1.81218904           1.61644523
  2    -1           0.61099417           1.81218904           1.61644523
  2     0           0.61099417           1.81218904           1.61644523
  2     1           0.61099417           1.81218904           1.61644523
  2     2           0.61099417           1.81218904           1.61644523
  3    -3           0.00176688           0.01287331           0.00462984
  3    -2           0.00176688           0.01287331           0.00462984
  3    -1           0.00176688           0.01287331           0.00462984
  3     0           0.00176688           0.01287331           0.00462984
  3     1           0.00176688           0.01287331           0.00462984
  3     2           0.00176688           0.01287331           0.00462984
  3     3           0.00176688           0.01287331           0.00462984
  4    -4           0.00003189           0.00091820           0.00022564
  4    -3           0.00003189           0.00091820           0.00022564
  4    -2           0.00003189           0.00091820           0.00022564
  4    -1           0.00003189           0.00091820           0.00022564
  4     0           0.00003189           0.00091820           0.00022564
  4     1           0.00003189           0.00091820           0.00022564
  4     2           0.00003189           0.00091820           0.00022564
  4     3           0.00003189           0.00091820           0.00022564
  4     4           0.00003189           0.00091820           0.00022564
Atom: Zr, Spin: 1, Partial Phase Shift and DOS at Energy =    0.66375189
Total DOS in Cell and MT Volumes =    8.05636525   6.46876138
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.01372442           0.36756245           0.23296434
  1    -1          -0.42724985           0.19193482           0.10553630
  1     0          -0.42724985           0.19193482           0.10553630
  1     1          -0.42724985           0.19193482           0.10553630
  2    -2           0.76967092           1.39931772           1.17464408
  2    -1           0.76967092           1.39931772           1.17464408
  2     0           0.76967092           1.39931772           1.17464408
  2     1           0.76967092           1.39931772           1.17464408
  2     2           0.76967092           1.39931772           1.17464408
  3    -3           0.00801405           0.01538478           0.00624040
  3    -2           0.00801405           0.01538478           0.00624040
  3    -1           0.00801405           0.01538478           0.00624040
  3     0           0.00801405           0.01538478           0.00624040
  3     1           0.00801405           0.01538478           0.00624040
  3     2           0.00801405           0.01538478           0.00624040
  3     3           0.00801405           0.01538478           0.00624040
  4    -4           0.00026812           0.00096847           0.00025388
  4    -3           0.00026812           0.00096847           0.00025388
  4    -2           0.00026812           0.00096847           0.00025388
  4    -1           0.00026812           0.00096847           0.00025388
