Atom: V , Spin: 1, Partial Phase Shift and DOS at Energy =    0.57635539
Total DOS in Cell and MT Volumes =   19.46746030  17.15093119
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.61674192           0.27229688           0.19400653
  1    -1          -0.13984216           0.66915285           0.39053960
  1     0          -0.13984216           0.66915285           0.39053960
  1     1          -0.13984216           0.66915285           0.39053960
  2    -2           0.96073264           3.06172336           2.86191150
  2    -1           0.96073264           4.47355387           4.18207664
  2     0           0.96073264           1.64989286           1.54174635
  2     1           0.96073264           4.47355387           4.18207664
  2     2           0.96073264           3.06172336           2.86191150
  3    -3           0.00153926           0.04880431           0.01727614
  3    -2           0.00153926           0.06398754           0.02265058
  3    -1           0.00153926           0.06304938           0.02231793
  3     0           0.00153926           0.02743670           0.00971346
  3     1           0.00153926           0.06304938           0.02231793
  3     2           0.00153926           0.06398754           0.02265058
  3     3           0.00153926           0.04880431           0.01727614
  4    -4           0.00003671           0.00737910           0.00178988
  4    -3           0.00003671           0.01400835           0.00339831
  4    -2           0.00003671           0.00987657           0.00239598
  4    -1           0.00003671           0.01014766           0.00246136
  4     0           0.00003671           0.00531506           0.00128940
  4     1           0.00003671           0.01014766           0.00246136
  4     2           0.00003671           0.00987657           0.00239598
  4     3           0.00003671           0.01400835           0.00339831
  4     4           0.00003671           0.00737910           0.00178988
Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    0.57635539
Total DOS in Cell and MT Volumes =   10.94738203   8.66506662
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.76295517           0.29395419           0.19401032
  1    -1          -0.27428908           0.72467519           0.39890414
  1     0          -0.27428908           0.72467519           0.39890414
  1     1          -0.27428908           0.72467519           0.39890414
  2    -2           1.22126417           1.46543538           1.30519471
  2    -1           1.22126417           2.07690604           1.84982512
  2     0           1.22126417           0.85396473           0.76056431
  2     1           1.22126417           2.07690604           1.84982512
  2     2           1.22126417           1.46543538           1.30519471
  3    -3           0.00588578           0.05759913           0.02314830
  3    -2           0.00588578           0.07473452           0.03003456
  3    -1           0.00588578           0.07339736           0.02949621
  3     0           0.00588578           0.03390178           0.01362645
  3     1           0.00588578           0.07339736           0.02949621
  3     2           0.00588578           0.07473452           0.03003456
  3     3           0.00588578           0.05759913           0.02314830
  4    -4           0.00017693           0.00783115           0.00203216
  4    -3           0.00017693           0.01539234           0.00399475
  4    -2           0.00017693           0.01084286           0.00281404
  4    -1           0.00017693           0.01076861           0.00279433
  4     0           0.00017693           0.00572094           0.00148478
  4     1           0.00017693           0.01076861           0.00279433
  4     2           0.00017693           0.01084286           0.00281404
  4     3           0.00017693           0.01539234           0.00399475
  4     4           0.00017693           0.00783115           0.00203216
Atom: Ta, Spin: 1, Partial Phase Shift and DOS at Energy =    0.57635539
Total DOS in Cell and MT Volumes =   10.06475925   7.81108659
