Atom: V , Spin: 1, Partial Phase Shift and DOS at Energy =    0.50648966
Total DOS in Cell and MT Volumes =   27.16904729  25.02341914
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.51591328           0.59002597           0.42710027
  1    -1          -0.09868670           0.31673930           0.18621501
  1     0          -0.09868670           0.31673930           0.18621501
  1     1          -0.09868670           0.31673930           0.18621501
  2    -2           0.92679370           5.11447740           4.80366797
  2    -1           0.92679370           5.11447740           4.80366797
  2     0           0.92679370           5.11447740           4.80366797
  2     1           0.92679370           5.11447740           4.80366797
  2     2           0.92679370           5.11447740           4.80366797
  3    -3           0.00124029           0.00751061           0.00263001
  3    -2           0.00124029           0.00751061           0.00263001
  3    -1           0.00124029           0.00751061           0.00263001
  3     0           0.00124029           0.00751061           0.00263001
  3     1           0.00124029           0.00751061           0.00263001
  3     2           0.00124029           0.00751061           0.00263001
  3     3           0.00124029           0.00751061           0.00263001
  4    -4           0.00002803           0.00042690           0.00010266
  4    -3           0.00002803           0.00042690           0.00010266
  4    -2           0.00002803           0.00042690           0.00010266
  4    -1           0.00002803           0.00042690           0.00010266
  4     0           0.00002803           0.00042690           0.00010266
  4     1           0.00002803           0.00042690           0.00010266
  4     2           0.00002803           0.00042690           0.00010266
  4     3           0.00002803           0.00042690           0.00010266
  4     4           0.00002803           0.00042690           0.00010266
Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    0.50648966
Total DOS in Cell and MT Volumes =   17.65477003  15.42412550
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.64552788           0.50307630           0.33915178
  1    -1          -0.21318696           0.24225287           0.13396284
  1     0          -0.21318696           0.24225287           0.13396284
  1     1          -0.21318696           0.24225287           0.13396284
  2    -2           1.19832988           3.27174992           2.93149364
  2    -1           1.19832988           3.27174992           2.93149364
  2     0           1.19832988           3.27174992           2.93149364
  2     1           1.19832988           3.27174992           2.93149364
  2     2           1.19832988           3.27174992           2.93149364
  3    -3           0.00461434           0.00887738           0.00351132
  3    -2           0.00461434           0.00887738           0.00351132
  3    -1           0.00461434           0.00887738           0.00351132
  3     0           0.00461434           0.00887738           0.00351132
  3     1           0.00461434           0.00887738           0.00351132
  3     2           0.00461434           0.00887738           0.00351132
  3     3           0.00461434           0.00887738           0.00351132
  4    -4           0.00013056           0.00044931           0.00011531
  4    -3           0.00013056           0.00044931           0.00011531
  4    -2           0.00013056           0.00044931           0.00011531
  4    -1           0.00013056           0.00044931           0.00011531
  4     0           0.00013056           0.00044931           0.00011531
  4     1           0.00013056           0.00044931           0.00011531
  4     2           0.00013056           0.00044931           0.00011531
  4     3           0.00013056           0.00044931           0.00011531
  4     4           0.00013056           0.00044931           0.00011531
Atom: Ta, Spin: 1, Partial Phase Shift and DOS at Energy =    0.50648966
Total DOS in Cell and MT Volumes =   16.30933497  14.08148263
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.61972214           0.50586982           0.34171016
  1    -1          -0.22075077           0.23600672           0.12921180
  1     0          -0.22075077           0.23600672           0.12921180
  1     1          -0.22075077           0.23600672           0.12921180
  2    -2           1.22920787           3.00590109           2.66536159
  2    -1           1.22920787           3.00590109           2.66536159
  2     0           1.22920787           3.00590109           2.66536159
  2     1           1.22920787           3.00590109           2.66536159
  2     2           1.22920787           3.00590109           2.66536159
  3    -3           0.00463669           0.00883576           0.00346639
  3    -2           0.00463669           0.00883576           0.00346639
  3    -1           0.00463669           0.00883576           0.00346639
  3     0           0.00463669           0.00883576           0.00346639
  3     1           0.00463669           0.00883576           0.00346639
  3     2           0.00463669           0.00883576           0.00346639
  3     3           0.00463669           0.00883576           0.00346639
  4    -4           0.00015234           0.00045436           0.00011826
  4    -3           0.00015234           0.00045436           0.00011826
  4    -2           0.00015234           0.00045436           0.00011826
  4    -1           0.00015234           0.00045436           0.00011826
  4     0           0.00015234           0.00045436           0.00011826
  4     1           0.00015234           0.00045436           0.00011826
  4     2           0.00015234           0.00045436           0.00011826
  4     3           0.00015234           0.00045436           0.00011826
  4     4           0.00015234           0.00045436           0.00011826
Atom: Ti, Spin: 1, Partial Phase Shift and DOS at Energy =    0.50648966
Total DOS in Cell and MT Volumes =   13.03352847  11.34240403
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.56900454           0.55701505           0.39302307
  1    -1          -0.12539377           0.29794111           0.17250699
  1     0          -0.12539377           0.29794111           0.17250699
  1     1          -0.12539377           0.29794111           0.17250699
  2    -2           0.59686938           2.30493093           2.08231302
  2    -1           0.59686938           2.30493093           2.08231302
  2     0           0.59686938           2.30493093           2.08231302
  2     1           0.59686938           2.30493093           2.08231302
  2     2           0.59686938           2.30493093           2.08231302
  3    -3           0.00188670           0.00773554           0.00276385
  3    -2           0.00188670           0.00773554           0.00276385
  3    -1           0.00188670           0.00773554           0.00276385
  3     0           0.00188670           0.00773554           0.00276385
  3     1           0.00188670           0.00773554           0.00276385
  3     2           0.00188670           0.00773554           0.00276385
  3     3           0.00188670           0.00773554           0.00276385
  4    -4           0.00005216           0.00043185           0.00010532
  4    -3           0.00005216           0.00043185           0.00010532
  4    -2           0.00005216           0.00043185           0.00010532
  4    -1           0.00005216           0.00043185           0.00010532
  4     0           0.00005216           0.00043185           0.00010532
  4     1           0.00005216           0.00043185           0.00010532
  4     2           0.00005216           0.00043185           0.00010532
  4     3           0.00005216           0.00043185           0.00010532
  4     4           0.00005216           0.00043185           0.00010532
Atom: V , Spin: 2, Partial Phase Shift and DOS at Energy =    0.50648966
Total DOS in Cell and MT Volumes =   27.16904729  25.02341914
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.51591328           0.59002597           0.42710027
  1    -1          -0.09868670           0.31673930           0.18621501
  1     0          -0.09868670           0.31673930           0.18621501
  1     1          -0.09868670           0.31673930           0.18621501
  2    -2           0.92679370           5.11447740           4.80366797
  2    -1           0.92679370           5.11447740           4.80366797
  2     0           0.92679370           5.11447740           4.80366797
  2     1           0.92679370           5.11447740           4.80366797
  2     2           0.92679370           5.11447740           4.80366797
  3    -3           0.00124029           0.00751061           0.00263001
  3    -2           0.00124029           0.00751061           0.00263001
  3    -1           0.00124029           0.00751061           0.00263001
  3     0           0.00124029           0.00751061           0.00263001
  3     1           0.00124029           0.00751061           0.00263001
  3     2           0.00124029           0.00751061           0.00263001
  3     3           0.00124029           0.00751061           0.00263001
  4    -4           0.00002803           0.00042690           0.00010266
  4    -3           0.00002803           0.00042690           0.00010266
  4    -2           0.00002803           0.00042690           0.00010266
  4    -1           0.00002803           0.00042690           0.00010266
  4     0           0.00002803           0.00042690           0.00010266
  4     1           0.00002803           0.00042690           0.00010266
  4     2           0.00002803           0.00042690           0.00010266
  4     3           0.00002803           0.00042690           0.00010266
  4     4           0.00002803           0.00042690           0.00010266
Atom: Nb, Spin: 2, Partial Phase Shift and DOS at Energy =    0.50648966
Total DOS in Cell and MT Volumes =   17.65477003  15.42412550
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.64552788           0.50307630           0.33915178
