Atom: V , Spin: 1, Partial Phase Shift and DOS at Energy =    0.63539201
Total DOS in Cell and MT Volumes =   20.34100900  18.52931297
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.69298647           0.46752133           0.32929393
  1    -1          -0.17414583           0.26981263           0.15667248
  1     0          -0.17414583           0.26981263           0.15667248
  1     1          -0.17414583           0.26981263           0.15667248
  2    -2           0.98411290           3.79838262           3.54097294
  2    -1           0.98411290           3.79838262           3.54097294
  2     0           0.98411290           3.79838262           3.54097294
  2     1           0.98411290           3.79838262           3.54097294
  2     2           0.98411290           3.79838262           3.54097294
  3    -3           0.00180525           0.00952001           0.00339919
  3    -2           0.00180525           0.00952001           0.00339919
  3    -1           0.00180525           0.00952001           0.00339919
  3     0           0.00180525           0.00952001           0.00339919
  3     1           0.00180525           0.00952001           0.00339919
  3     2           0.00180525           0.00952001           0.00339919
  3     3           0.00180525           0.00952001           0.00339919
  4    -4           0.00004480           0.00061074           0.00014917
  4    -3           0.00004480           0.00061074           0.00014917
  4    -2           0.00004480           0.00061074           0.00014917
  4    -1           0.00004480           0.00061074           0.00014917
  4     0           0.00004480           0.00061074           0.00014917
  4     1           0.00004480           0.00061074           0.00014917
  4     2           0.00004480           0.00061074           0.00014917
  4     3           0.00004480           0.00061074           0.00014917
  4     4           0.00004480           0.00061074           0.00014917
Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    0.63539201
Total DOS in Cell and MT Volumes =   12.79625841  11.01957397
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.85221875           0.38999414           0.25342312
  1    -1          -0.32448039           0.19826162           0.10904169
  1     0          -0.32448039           0.19826162           0.10904169
  1     1          -0.32448039           0.19826162           0.10904169
  2    -2           1.23637513           2.34502167           2.08094344
  2    -1           1.23637513           2.34502167           2.08094344
  2     0           1.23637513           2.34502167           2.08094344
  2     1           1.23637513           2.34502167           2.08094344
  2     2           1.23637513           2.34502167           2.08094344
  3    -3           0.00704660           0.01150797           0.00468373
  3    -2           0.00704660           0.01150797           0.00468373
  3    -1           0.00704660           0.01150797           0.00468373
  3     0           0.00704660           0.01150797           0.00468373
  3     1           0.00704660           0.01150797           0.00468373
  3     2           0.00704660           0.01150797           0.00468373
  3     3           0.00704660           0.01150797           0.00468373
  4    -4           0.00022143           0.00064614           0.00016916
  4    -3           0.00022143           0.00064614           0.00016916
  4    -2           0.00022143           0.00064614           0.00016916
  4    -1           0.00022143           0.00064614           0.00016916
  4     0           0.00022143           0.00064614           0.00016916
  4     1           0.00022143           0.00064614           0.00016916
  4     2           0.00022143           0.00064614           0.00016916
  4     3           0.00022143           0.00064614           0.00016916
  4     4           0.00022143           0.00064614           0.00016916
Atom: Ta, Spin: 1, Partial Phase Shift and DOS at Energy =    0.63539201
Total DOS in Cell and MT Volumes =   11.80460489  10.04016256
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.83520091           0.39097447           0.25389850
  1    -1          -0.33631205           0.19128695           0.10399943
  1     0          -0.33631205           0.19128695           0.10399943
  1     1          -0.33631205           0.19128695           0.10399943
  2    -2           1.26497032           2.15087571           1.88814792
  2    -1           1.26497032           2.15087571           1.88814792
  2     0           1.26497032           2.15087571           1.88814792
  2     1           1.26497032           2.15087571           1.88814792
  2     2           1.26497032           2.15087571           1.88814792
  3    -3           0.00681044           0.01135747           0.00456580
  3    -2           0.00681044           0.01135747           0.00456580
  3    -1           0.00681044           0.01135747           0.00456580
  3     0           0.00681044           0.01135747           0.00456580
  3     1           0.00681044           0.01135747           0.00456580
  3     2           0.00681044           0.01135747           0.00456580
  3     3           0.00681044           0.01135747           0.00456580
  4    -4           0.00025956           0.00065431           0.00017396
  4    -3           0.00025956           0.00065431           0.00017396
  4    -2           0.00025956           0.00065431           0.00017396
  4    -1           0.00025956           0.00065431           0.00017396
  4     0           0.00025956           0.00065431           0.00017396
  4     1           0.00025956           0.00065431           0.00017396
  4     2           0.00025956           0.00065431           0.00017396
  4     3           0.00025956           0.00065431           0.00017396
  4     4           0.00025956           0.00065431           0.00017396
Atom: Ti, Spin: 1, Partial Phase Shift and DOS at Energy =    0.63539201
Total DOS in Cell and MT Volumes =   10.86226217   9.33779705
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.76092518           0.43686986           0.29850602
  1    -1          -0.21546882           0.24880262           0.14206234
  1     0          -0.21546882           0.24880262           0.14206234
  1     1          -0.21546882           0.24880262           0.14206234
  2    -2           0.65549850           1.92098690           1.71736622
  2    -1           0.65549850           1.92098690           1.71736622
  2     0           0.65549850           1.92098690           1.71736622
  2     1           0.65549850           1.92098690           1.71736622
  2     2           0.65549850           1.92098690           1.71736622
  3    -3           0.00262415           0.00978505           0.00355702
  3    -2           0.00262415           0.00978505           0.00355702
  3    -1           0.00262415           0.00978505           0.00355702
  3     0           0.00262415           0.00978505           0.00355702
  3     1           0.00262415           0.00978505           0.00355702
  3     2           0.00262415           0.00978505           0.00355702
  3     3           0.00262415           0.00978505           0.00355702
  4    -4           0.00007913           0.00061718           0.00015265
  4    -3           0.00007913           0.00061718           0.00015265
  4    -2           0.00007913           0.00061718           0.00015265
  4    -1           0.00007913           0.00061718           0.00015265
  4     0           0.00007913           0.00061718           0.00015265
  4     1           0.00007913           0.00061718           0.00015265
  4     2           0.00007913           0.00061718           0.00015265
  4     3           0.00007913           0.00061718           0.00015265
  4     4           0.00007913           0.00061718           0.00015265
Atom: V , Spin: 2, Partial Phase Shift and DOS at Energy =    0.63539201
Total DOS in Cell and MT Volumes =   20.34100900  18.52931297
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.69298647           0.46752133           0.32929393
  1    -1          -0.17414583           0.26981263           0.15667248
  1     0          -0.17414583           0.26981263           0.15667248
  1     1          -0.17414583           0.26981263           0.15667248
  2    -2           0.98411290           3.79838262           3.54097294
  2    -1           0.98411290           3.79838262           3.54097294
  2     0           0.98411290           3.79838262           3.54097294
  2     1           0.98411290           3.79838262           3.54097294
  2     2           0.98411290           3.79838262           3.54097294
  3    -3           0.00180525           0.00952001           0.00339919
  3    -2           0.00180525           0.00952001           0.00339919
  3    -1           0.00180525           0.00952001           0.00339919
  3     0           0.00180525           0.00952001           0.00339919
  3     1           0.00180525           0.00952001           0.00339919
  3     2           0.00180525           0.00952001           0.00339919
  3     3           0.00180525           0.00952001           0.00339919
  4    -4           0.00004480           0.00061074           0.00014917
  4    -3           0.00004480           0.00061074           0.00014917
  4    -2           0.00004480           0.00061074           0.00014917
  4    -1           0.00004480           0.00061074           0.00014917
  4     0           0.00004480           0.00061074           0.00014917
  4     1           0.00004480           0.00061074           0.00014917
  4     2           0.00004480           0.00061074           0.00014917
  4     3           0.00004480           0.00061074           0.00014917
  4     4           0.00004480           0.00061074           0.00014917
Atom: Nb, Spin: 2, Partial Phase Shift and DOS at Energy =    0.63539201
Total DOS in Cell and MT Volumes =   12.79625841  11.01957397
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.85221875           0.38999414           0.25342312
  1    -1          -0.32448039           0.19826162           0.10904169
  1     0          -0.32448039           0.19826162           0.10904169
  1     1          -0.32448039           0.19826162           0.10904169
  2    -2           1.23637513           2.34502167           2.08094344
  2    -1           1.23637513           2.34502167           2.08094344
  2     0           1.23637513           2.34502167           2.08094344
  2     1           1.23637513           2.34502167           2.08094344
  2     2           1.23637513           2.34502167           2.08094344
  3    -3           0.00704660           0.01150797           0.00468373
  3    -2           0.00704660           0.01150797           0.00468373
  3    -1           0.00704660           0.01150797           0.00468373
  3     0           0.00704660           0.01150797           0.00468373
  3     1           0.00704660           0.01150797           0.00468373
  3     2           0.00704660           0.01150797           0.00468373
  3     3           0.00704660           0.01150797           0.00468373
  4    -4           0.00022143           0.00064614           0.00016916
  4    -3           0.00022143           0.00064614           0.00016916
  4    -2           0.00022143           0.00064614           0.00016916
  4    -1           0.00022143           0.00064614           0.00016916
  4     0           0.00022143           0.00064614           0.00016916
  4     1           0.00022143           0.00064614           0.00016916
  4     2           0.00022143           0.00064614           0.00016916
  4     3           0.00022143           0.00064614           0.00016916
