Atom: Ta, Spin: 1, Partial Phase Shift and DOS at Energy =    0.73546158
Total DOS in Cell and MT Volumes =    9.74732126   8.15614415
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.00052047           0.35977788           0.23246116
  1    -1          -0.42620681           0.19241546           0.10437906
  1     0          -0.42620681           0.19241546           0.10437906
  1     1          -0.42620681           0.19241546           0.10437906
  2    -2           1.13352341           1.73673333           1.51224096
  2    -1           1.13352341           1.73673333           1.51224096
  2     0           1.13352341           1.73673333           1.51224096
  2     1           1.13352341           1.73673333           1.51224096
  2     2           1.13352341           1.73673333           1.51224096
  3    -3           0.00799243           0.01661350           0.00665628
  3    -2           0.00799243           0.01661350           0.00665628
  3    -1           0.00799243           0.01661350           0.00665628
  3     0           0.00799243           0.01661350           0.00665628
  3     1           0.00799243           0.01661350           0.00665628
  3     2           0.00799243           0.01661350           0.00665628
  3     3           0.00799243           0.01661350           0.00665628
  4    -4           0.00034442           0.00114842           0.00030523
  4    -3           0.00034442           0.00114842           0.00030523
  4    -2           0.00034442           0.00114842           0.00030523
  4    -1           0.00034442           0.00114842           0.00030523
  4     0           0.00034442           0.00114842           0.00030523
  4     1           0.00034442           0.00114842           0.00030523
  4     2           0.00034442           0.00114842           0.00030523
  4     3           0.00034442           0.00114842           0.00030523
  4     4           0.00034442           0.00114842           0.00030523
Atom: Ta, Spin: 2, Partial Phase Shift and DOS at Energy =    0.73546158
Total DOS in Cell and MT Volumes =    9.74732126   8.15614415
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.00052047           0.35977788           0.23246116
  1    -1          -0.42620681           0.19241546           0.10437906
  1     0          -0.42620681           0.19241546           0.10437906
  1     1          -0.42620681           0.19241546           0.10437906
  2    -2           1.13352341           1.73673333           1.51224096
  2    -1           1.13352341           1.73673333           1.51224096
  2     0           1.13352341           1.73673333           1.51224096
  2     1           1.13352341           1.73673333           1.51224096
  2     2           1.13352341           1.73673333           1.51224096
  3    -3           0.00799243           0.01661350           0.00665628
  3    -2           0.00799243           0.01661350           0.00665628
  3    -1           0.00799243           0.01661350           0.00665628
  3     0           0.00799243           0.01661350           0.00665628
  3     1           0.00799243           0.01661350           0.00665628
  3     2           0.00799243           0.01661350           0.00665628
  3     3           0.00799243           0.01661350           0.00665628
  4    -4           0.00034442           0.00114842           0.00030523
  4    -3           0.00034442           0.00114842           0.00030523
  4    -2           0.00034442           0.00114842           0.00030523
  4    -1           0.00034442           0.00114842           0.00030523
  4     0           0.00034442           0.00114842           0.00030523
  4     1           0.00034442           0.00114842           0.00030523
  4     2           0.00034442           0.00114842           0.00030523
  4     3           0.00034442           0.00114842           0.00030523
  4     4           0.00034442           0.00114842           0.00030523
