Atom: Ta, Spin: 1, Partial Phase Shift and DOS at Energy =    0.73546158
Total DOS in Cell and MT Volumes =   14.18601319  10.87578171
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.00052047           0.54399981           0.35137820
  1    -1          -0.42620681           0.98953915           0.53674273
  1     0          -0.42620681           0.98953915           0.53674273
  1     1          -0.42620681           0.98953915           0.53674273
  2    -2           1.13352341           1.81722627           1.58192389
  2    -1           1.13352341           2.64660181           2.30392063
  2     0           1.13352341           0.98785074           0.85992715
  2     1           1.13352341           2.64660181           2.30392063
  2     2           1.13352341           1.81722627           1.58192389
  3    -3           0.00799243           0.07609634           0.03048293
  3    -2           0.00799243           0.10462624           0.04190982
  3    -1           0.00799243           0.10036693           0.04020489
  3     0           0.00799243           0.03969044           0.01589998
  3     1           0.00799243           0.10036693           0.04020489
  3     2           0.00799243           0.10462624           0.04190982
  3     3           0.00799243           0.07609634           0.03048293
  4    -4           0.00034442           0.00930312           0.00247202
  4    -3           0.00034442           0.03040334           0.00808059
  4    -2           0.00034442           0.02132079           0.00566656
  4    -1           0.00034442           0.01230208           0.00326897
  4     0           0.00034442           0.00936091           0.00248757
  4     1           0.00034442           0.01230208           0.00326897
  4     2           0.00034442           0.02132079           0.00566656
  4     3           0.00034442           0.03040334           0.00808059
  4     4           0.00034442           0.00930312           0.00247202
Atom: Ta, Spin: 2, Partial Phase Shift and DOS at Energy =    0.73546158
Total DOS in Cell and MT Volumes =   14.18601319  10.87578171
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.00052047           0.54399981           0.35137820
  1    -1          -0.42620681           0.98953915           0.53674273
  1     0          -0.42620681           0.98953915           0.53674273
  1     1          -0.42620681           0.98953915           0.53674273
  2    -2           1.13352341           1.81722627           1.58192389
  2    -1           1.13352341           2.64660181           2.30392063
  2     0           1.13352341           0.98785074           0.85992715
  2     1           1.13352341           2.64660181           2.30392063
  2     2           1.13352341           1.81722627           1.58192389
  3    -3           0.00799243           0.07609634           0.03048293
  3    -2           0.00799243           0.10462624           0.04190982
  3    -1           0.00799243           0.10036693           0.04020489
  3     0           0.00799243           0.03969044           0.01589998
  3     1           0.00799243           0.10036693           0.04020489
  3     2           0.00799243           0.10462624           0.04190982
  3     3           0.00799243           0.07609634           0.03048293
  4    -4           0.00034442           0.00930312           0.00247202
  4    -3           0.00034442           0.03040334           0.00808059
  4    -2           0.00034442           0.02132079           0.00566656
  4    -1           0.00034442           0.01230208           0.00326897
  4     0           0.00034442           0.00936091           0.00248757
  4     1           0.00034442           0.01230208           0.00326897
  4     2           0.00034442           0.02132079           0.00566656
  4     3           0.00034442           0.03040334           0.00808059
  4     4           0.00034442           0.00930312           0.00247202
