Atom: Ti, Spin: 1, Partial Phase Shift and DOS at Energy =    0.59518890
Total DOS in Cell and MT Volumes =    9.59810767   7.80287364
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.67057080           0.08922157           0.06128394
  1    -1          -0.17305902           0.62977345           0.36167947
  1     0          -0.17305902           0.62977345           0.36167947
  1     1          -0.17305902           0.62977345           0.36167947
  2    -2           0.66814143           1.36067897           1.21726700
  2    -1           0.66814143           1.88426818           1.68620393
  2     0           0.66814143           0.83708975           0.74833007
  2     1           0.66814143           1.88426818           1.68620393
  2     2           0.66814143           1.36067897           1.21726700
  3    -3           0.00284476           0.03137751           0.01147290
  3    -2           0.00284476           0.04042221           0.01478039
  3    -1           0.00284476           0.04393470           0.01606359
  3     0           0.00284476           0.01254172           0.00458687
  3     1           0.00284476           0.04393470           0.01606359
  3     2           0.00284476           0.04042221           0.01478039
  3     3           0.00284476           0.03137751           0.01147290
  4    -4           0.00008944           0.00555853           0.00137994
  4    -3           0.00008944           0.00550630           0.00136714
  4    -2           0.00008944           0.00393708           0.00097756
  4    -1           0.00008944           0.00766224           0.00190207
  4     0           0.00008944           0.00324282           0.00080527
  4     1           0.00008944           0.00766224           0.00190207
  4     2           0.00008944           0.00393708           0.00097756
  4     3           0.00008944           0.00550630           0.00136714
  4     4           0.00008944           0.00555853           0.00137994
Atom: Ti, Spin: 2, Partial Phase Shift and DOS at Energy =    0.59518890
Total DOS in Cell and MT Volumes =    9.59810767   7.80287364
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.67057080           0.08922157           0.06128394
  1    -1          -0.17305902           0.62977345           0.36167947
  1     0          -0.17305902           0.62977345           0.36167947
  1     1          -0.17305902           0.62977345           0.36167947
  2    -2           0.66814143           1.36067897           1.21726700
  2    -1           0.66814143           1.88426818           1.68620393
  2     0           0.66814143           0.83708975           0.74833007
  2     1           0.66814143           1.88426818           1.68620393
  2     2           0.66814143           1.36067897           1.21726700
  3    -3           0.00284476           0.03137751           0.01147290
  3    -2           0.00284476           0.04042221           0.01478039
  3    -1           0.00284476           0.04393470           0.01606359
  3     0           0.00284476           0.01254172           0.00458687
  3     1           0.00284476           0.04393470           0.01606359
  3     2           0.00284476           0.04042221           0.01478039
  3     3           0.00284476           0.03137751           0.01147290
  4    -4           0.00008944           0.00555853           0.00137994
  4    -3           0.00008944           0.00550630           0.00136714
  4    -2           0.00008944           0.00393708           0.00097756
  4    -1           0.00008944           0.00766224           0.00190207
  4     0           0.00008944           0.00324282           0.00080527
  4     1           0.00008944           0.00766224           0.00190207
  4     2           0.00008944           0.00393708           0.00097756
  4     3           0.00008944           0.00550630           0.00136714
  4     4           0.00008944           0.00555853           0.00137994
