Atom: V , Spin: 1, Partial Phase Shift and DOS at Energy =    0.50838785
Total DOS in Cell and MT Volumes =   24.81611922  22.74961016
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.45872575           0.52932615           0.37420057
  1    -1          -0.07279135           0.27104470           0.15766978
  1     0          -0.07279135           0.27104470           0.15766978
  1     1          -0.07279135           0.27104470           0.15766978
  2    -2           0.93789536           4.68713675           4.37782190
  2    -1           0.93789536           4.68713675           4.37782190
  2     0           0.93789536           4.68713675           4.37782190
  2     1           0.93789536           4.68713675           4.37782190
  2     2           0.93789536           4.68713675           4.37782190
  3    -3           0.00170157           0.00510131           0.00181990
  3    -2           0.00170157           0.00510131           0.00181990
  3    -1           0.00170157           0.00510131           0.00181990
  3     0           0.00170157           0.00510131           0.00181990
  3     1           0.00170157           0.00510131           0.00181990
  3     2           0.00170157           0.00510131           0.00181990
  3     3           0.00170157           0.00510131           0.00181990
  4    -4           0.00004596           0.00025178           0.00006127
  4    -3           0.00004596           0.00025178           0.00006127
  4    -2           0.00004596           0.00025178           0.00006127
  4    -1           0.00004596           0.00025178           0.00006127
  4     0           0.00004596           0.00025178           0.00006127
  4     1           0.00004596           0.00025178           0.00006127
  4     2           0.00004596           0.00025178           0.00006127
  4     3           0.00004596           0.00025178           0.00006127
  4     4           0.00004596           0.00025178           0.00006127
Atom: V , Spin: 2, Partial Phase Shift and DOS at Energy =    0.50838785
Total DOS in Cell and MT Volumes =   24.81611922  22.74961016
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.45872575           0.52932615           0.37420057
  1    -1          -0.07279135           0.27104470           0.15766978
  1     0          -0.07279135           0.27104470           0.15766978
  1     1          -0.07279135           0.27104470           0.15766978
  2    -2           0.93789536           4.68713675           4.37782190
  2    -1           0.93789536           4.68713675           4.37782190
  2     0           0.93789536           4.68713675           4.37782190
  2     1           0.93789536           4.68713675           4.37782190
  2     2           0.93789536           4.68713675           4.37782190
  3    -3           0.00170157           0.00510131           0.00181990
  3    -2           0.00170157           0.00510131           0.00181990
  3    -1           0.00170157           0.00510131           0.00181990
  3     0           0.00170157           0.00510131           0.00181990
  3     1           0.00170157           0.00510131           0.00181990
  3     2           0.00170157           0.00510131           0.00181990
  3     3           0.00170157           0.00510131           0.00181990
  4    -4           0.00004596           0.00025178           0.00006127
  4    -3           0.00004596           0.00025178           0.00006127
  4    -2           0.00004596           0.00025178           0.00006127
  4    -1           0.00004596           0.00025178           0.00006127
  4     0           0.00004596           0.00025178           0.00006127
  4     1           0.00004596           0.00025178           0.00006127
  4     2           0.00004596           0.00025178           0.00006127
  4     3           0.00004596           0.00025178           0.00006127
  4     4           0.00004596           0.00025178           0.00006127
