Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    0.68428754
Total DOS in Cell and MT Volumes =   23.90371645  20.56773513
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.93387632           0.74893631           0.48573745
  1    -1          -0.36675281           0.39813506           0.21844899
  1     0          -0.36675281           0.39813506           0.21844899
  1     1          -0.36675281           0.39813506           0.21844899
  2    -2           1.23436520           4.34987581           3.86863897
  2    -1           1.23436520           4.34987581           3.86863897
  2     0           1.23436520           4.34987581           3.86863897
  2     1           1.23436520           4.34987581           3.86863897
  2     2           1.23436520           4.34987581           3.86863897
  3    -3           0.00766368           0.02793137           0.01134413
  3    -2           0.00766368           0.02793137           0.01134413
  3    -1           0.00766368           0.02793137           0.01134413
  3     0           0.00766368           0.02793137           0.01134413
  3     1           0.00766368           0.02793137           0.01134413
  3     2           0.00766368           0.02793137           0.01134413
  3     3           0.00766368           0.02793137           0.01134413
  4    -4           0.00024742           0.00171959           0.00044966
  4    -3           0.00024742           0.00171959           0.00044966
  4    -2           0.00024742           0.00171959           0.00044966
  4    -1           0.00024742           0.00171959           0.00044966
  4     0           0.00024742           0.00171959           0.00044966
  4     1           0.00024742           0.00171959           0.00044966
  4     2           0.00024742           0.00171959           0.00044966
  4     3           0.00024742           0.00171959           0.00044966
  4     4           0.00024742           0.00171959           0.00044966
Atom: Mo, Spin: 1, Partial Phase Shift and DOS at Energy =    0.68428754
Total DOS in Cell and MT Volumes =   26.85800072  23.63999742
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.86304093           0.79579901           0.52974214
  1    -1          -0.31370646           0.43769847           0.24180271
  1     0          -0.31370646           0.43769847           0.24180271
  1     1          -0.31370646           0.43769847           0.24180271
  2    -2           1.40675513           4.90873501           4.46101337
  2    -1           1.40675513           4.90873501           4.46101337
  2     0           1.40675513           4.90873501           4.46101337
  2     1           1.40675513           4.90873501           4.46101337
  2     2           1.40675513           4.90873501           4.46101337
  3    -3           0.00672325           0.02715381           0.01082948
  3    -2           0.00672325           0.02715381           0.01082948
  3    -1           0.00672325           0.02715381           0.01082948
  3     0           0.00672325           0.02715381           0.01082948
  3     1           0.00672325           0.02715381           0.01082948
  3     2           0.00672325           0.02715381           0.01082948
  3     3           0.00672325           0.02715381           0.01082948
  4    -4           0.00021702           0.00170606           0.00044155
  4    -3           0.00021702           0.00170606           0.00044155
  4    -2           0.00021702           0.00170606           0.00044155
  4    -1           0.00021702           0.00170606           0.00044155
  4     0           0.00021702           0.00170606           0.00044155
  4     1           0.00021702           0.00170606           0.00044155
  4     2           0.00021702           0.00170606           0.00044155
  4     3           0.00021702           0.00170606           0.00044155
  4     4           0.00021702           0.00170606           0.00044155
