Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    1.54897758
Total DOS in Cell and MT Volumes =    8.37478801   6.90469472
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.71091682           0.30646150           0.18060972
  1    -1          -0.93877928           0.20791135           0.13223065
  1     0          -0.93877928           0.20791135           0.13223065
  1     1          -0.93877928           0.20791135           0.13223065
  2    -2           1.26401447           1.39027814           1.22163486
  2    -1           1.26401447           1.39027814           1.22163486
  2     0           1.26401447           1.39027814           1.22163486
  2     1           1.26401447           1.39027814           1.22163486
  2     2           1.26401447           1.39027814           1.22163486
  3    -3           0.03220072           0.06340446           0.02929520
  3    -2           0.03220072           0.06340446           0.02929520
  3    -1           0.03220072           0.06340446           0.02929520
  3     0           0.03220072           0.06340446           0.02929520
  3     1           0.03220072           0.06340446           0.02929520
  3     2           0.03220072           0.06340446           0.02929520
  3     3           0.03220072           0.06340446           0.02929520
  4    -4           0.00147489           0.00548561           0.00157249
  4    -3           0.00147489           0.00548561           0.00157249
  4    -2           0.00147489           0.00548561           0.00157249
  4    -1           0.00147489           0.00548561           0.00157249
  4     0           0.00147489           0.00548561           0.00157249
  4     1           0.00147489           0.00548561           0.00157249
  4     2           0.00147489           0.00548561           0.00157249
  4     3           0.00147489           0.00548561           0.00157249
  4     4           0.00147489           0.00548561           0.00157249
Atom: Ti, Spin: 1, Partial Phase Shift and DOS at Energy =    1.54897758
Total DOS in Cell and MT Volumes =   10.67820512   8.92227691
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.56310061           0.35335756           0.21652889
  1    -1          -0.74212186           0.25693215           0.15077955
  1     0          -0.74212186           0.25693215           0.15077955
  1     1          -0.74212186           0.25693215           0.15077955
  2    -2           0.82242822           1.83667160           1.62286634
  2    -1           0.82242822           1.83667160           1.62286634
  2     0           0.82242822           1.83667160           1.62286634
  2     1           0.82242822           1.83667160           1.62286634
  2     2           0.82242822           1.83667160           1.62286634
  3    -3           0.00434571           0.04646969           0.01816269
  3    -2           0.00434571           0.04646969           0.01816269
  3    -1           0.00434571           0.04646969           0.01816269
  3     0           0.00434571           0.04646969           0.01816269
  3     1           0.00434571           0.04646969           0.01816269
  3     2           0.00434571           0.04646969           0.01816269
  3     3           0.00434571           0.04646969           0.01816269
  4    -4           0.00000912           0.00504503           0.00132653
  4    -3           0.00000912           0.00504503           0.00132653
  4    -2           0.00000912           0.00504503           0.00132653
  4    -1           0.00000912           0.00504503           0.00132653
  4     0           0.00000912           0.00504503           0.00132653
  4     1           0.00000912           0.00504503           0.00132653
  4     2           0.00000912           0.00504503           0.00132653
  4     3           0.00000912           0.00504503           0.00132653
  4     4           0.00000912           0.00504503           0.00132653
