Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    0.70023759
Total DOS in Cell and MT Volumes =   22.45819897  19.16301651
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.95589782           0.73370148           0.47456514
  1    -1          -0.38113098           0.39365812           0.21628396
  1     0          -0.38113098           0.39365812           0.21628396
  1     1          -0.38113098           0.39365812           0.21628396
  2    -2           1.16953494           4.06462622           3.59045814
  2    -1           1.16953494           4.06462622           3.59045814
  2     0           1.16953494           4.06462622           3.59045814
  2     1           1.16953494           4.06462622           3.59045814
  2     2           1.16953494           4.06462622           3.59045814
  3    -3           0.00807175           0.02913782           0.01185747
  3    -2           0.00807175           0.02913782           0.01185747
  3    -1           0.00807175           0.02913782           0.01185747
  3     0           0.00807175           0.02913782           0.01185747
  3     1           0.00807175           0.02913782           0.01185747
  3     2           0.00807175           0.02913782           0.01185747
  3     3           0.00807175           0.02913782           0.01185747
  4    -4           0.00026691           0.00182526           0.00047849
  4    -3           0.00026691           0.00182526           0.00047849
  4    -2           0.00026691           0.00182526           0.00047849
  4    -1           0.00026691           0.00182526           0.00047849
  4     0           0.00026691           0.00182526           0.00047849
  4     1           0.00026691           0.00182526           0.00047849
  4     2           0.00026691           0.00182526           0.00047849
  4     3           0.00026691           0.00182526           0.00047849
  4     4           0.00026691           0.00182526           0.00047849
Atom: Ti, Spin: 1, Partial Phase Shift and DOS at Energy =    0.70023759
Total DOS in Cell and MT Volumes =   19.62137589  16.70712606
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.87280161           0.81755987           0.55529089
  1    -1          -0.27308792           0.48556061           0.27622022
  1     0          -0.27308792           0.48556061           0.27622022
  1     1          -0.27308792           0.48556061           0.27622022
  2    -2           0.63581270           3.43174663           3.05131574
  2    -1           0.63581270           3.43174663           3.05131574
  2     0           0.63581270           3.43174663           3.05131574
  2     1           0.63581270           3.43174663           3.05131574
  2     2           0.63581270           3.43174663           3.05131574
  3    -3           0.00235820           0.02467591           0.00895977
  3    -2           0.00235820           0.02467591           0.00895977
  3    -1           0.00235820           0.02467591           0.00895977
  3     0           0.00235820           0.02467591           0.00895977
  3     1           0.00235820           0.02467591           0.00895977
  3     2           0.00235820           0.02467591           0.00895977
  3     3           0.00235820           0.02467591           0.00895977
  4    -4           0.00006039           0.00174108           0.00043082
  4    -3           0.00006039           0.00174108           0.00043082
  4    -2           0.00006039           0.00174108           0.00043082
  4    -1           0.00006039           0.00174108           0.00043082
  4     0           0.00006039           0.00174108           0.00043082
  4     1           0.00006039           0.00174108           0.00043082
  4     2           0.00006039           0.00174108           0.00043082
  4     3           0.00006039           0.00174108           0.00043082
  4     4           0.00006039           0.00174108           0.00043082
