Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    1.15798873
Total DOS in Cell and MT Volumes =   11.51219132   9.61714671
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.41789480           0.39777725           0.23775426
  1    -1          -0.70814625           0.23932375           0.14197925
  1     0          -0.70814625           0.23932375           0.14197925
  1     1          -0.70814625           0.23932375           0.14197925
  2    -2           1.29907408           2.01204484           1.76183092
  2    -1           1.29907408           2.01204484           1.76183092
  2     0           1.29907408           2.01204484           1.76183092
  2     1           1.29907408           2.01204484           1.76183092
  2     2           1.29907408           2.01204484           1.76183092
  3    -3           0.02037181           0.04391673           0.01947010
  3    -2           0.02037181           0.04391673           0.01947010
  3    -1           0.02037181           0.04391673           0.01947010
  3     0           0.02037181           0.04391673           0.01947010
  3     1           0.02037181           0.04391673           0.01947010
  3     2           0.02037181           0.04391673           0.01947010
  3     3           0.02037181           0.04391673           0.01947010
  4    -4           0.00082944           0.00320017           0.00088993
  4    -3           0.00082944           0.00320017           0.00088993
  4    -2           0.00082944           0.00320017           0.00088993
  4    -1           0.00082944           0.00320017           0.00088993
  4     0           0.00082944           0.00320017           0.00088993
  4     1           0.00082944           0.00320017           0.00088993
  4     2           0.00082944           0.00320017           0.00088993
  4     3           0.00082944           0.00320017           0.00088993
  4     4           0.00082944           0.00320017           0.00088993
Atom: Ti, Spin: 1, Partial Phase Shift and DOS at Energy =    1.15798873
Total DOS in Cell and MT Volumes =   13.25021400  11.12513891
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.28178313           0.46021290           0.28943034
  1    -1          -0.53619354           0.30523198           0.17425813
  1     0          -0.53619354           0.30523198           0.17425813
  1     1          -0.53619354           0.30523198           0.17425813
  2    -2           0.79565174           2.32174625           2.04295074
  2    -1           0.79565174           2.32174625           2.04295074
  2     0           0.79565174           2.32174625           2.04295074
  2     1           0.79565174           2.32174625           2.04295074
  2     2           0.79565174           2.32174625           2.04295074
  3    -3           0.00524832           0.03409649           0.01303502
  3    -2           0.00524832           0.03409649           0.01303502
  3    -1           0.00524832           0.03409649           0.01303502
  3     0           0.00524832           0.03409649           0.01303502
  3     1           0.00524832           0.03409649           0.01303502
  3     2           0.00524832           0.03409649           0.01303502
  3     3           0.00524832           0.03409649           0.01303502
  4    -4           0.00017599           0.00298873           0.00077060
  4    -3           0.00017599           0.00298873           0.00077060
  4    -2           0.00017599           0.00298873           0.00077060
  4    -1           0.00017599           0.00298873           0.00077060
  4     0           0.00017599           0.00298873           0.00077060
  4     1           0.00017599           0.00298873           0.00077060
  4     2           0.00017599           0.00298873           0.00077060
  4     3           0.00017599           0.00298873           0.00077060
  4     4           0.00017599           0.00298873           0.00077060
