Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    1.08160733
Total DOS in Cell and MT Volumes =   11.96458293   9.27979711
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.35196011           0.84826034           0.51104408
  1    -1          -0.65818527           0.66553574           0.38770517
  1     0          -0.65818527           0.66553574           0.38770517
  1     1          -0.65818527           0.66553574           0.38770517
  2    -2           1.29047842           1.56098098           1.36731318
  2    -1           1.29047842           2.05756171           1.80221332
  2     0           1.29047842           1.06440024           0.93241303
  2     1           1.29047842           2.05756171           1.80221332
  2     2           1.29047842           1.56098098           1.36731318
  3    -3           0.01810128           0.08481323           0.03716929
  3    -2           0.01810128           0.11870529           0.05202271
  3    -1           0.01810128           0.09757666           0.04276131
  3     0           0.01810128           0.06566808           0.02878126
  3     1           0.01810128           0.09757666           0.04276131
  3     2           0.01810128           0.11870529           0.05202271
  3     3           0.01810128           0.08481323           0.03716929
  4    -4           0.00071797           0.01124472           0.00310201
  4    -3           0.00071797           0.02600318           0.00717380
  4    -2           0.00071797           0.01839019           0.00507351
  4    -1           0.00071797           0.01373275           0.00378826
  4     0           0.00071797           0.01162962           0.00320845
  4     1           0.00071797           0.01373275           0.00378826
  4     2           0.00071797           0.01839019           0.00507351
  4     3           0.00071797           0.02600318           0.00717380
  4     4           0.00071797           0.01124472           0.00310201
Atom: Ti, Spin: 1, Partial Phase Shift and DOS at Energy =    1.08160733
Total DOS in Cell and MT Volumes =   16.36058647  12.97644326
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.22164769           0.77830390           0.49422763
  1    -1          -0.49388468           0.93919540           0.53366177
  1     0          -0.49388468           0.93919540           0.53366177
  1     1          -0.49388468           0.93919540           0.53366177
  2    -2           0.77923498           2.24874539           1.97951188
  2    -1           0.77923498           3.09447748           2.72415731
  2     0           0.77923498           1.40301330           1.23486646
  2     1           0.77923498           3.09447748           2.72415731
  2     2           0.77923498           2.24874539           1.97951188
  3    -3           0.00488696           0.06722551           0.02553658
  3    -2           0.00488696           0.09580838           0.03639459
  3    -1           0.00488696           0.07892630           0.02998048
  3     0           0.00488696           0.04967432           0.01887073
  3     1           0.00488696           0.07892630           0.02998048
  3     2           0.00488696           0.09580838           0.03639459
  3     3           0.00488696           0.06722551           0.02553658
  4    -4           0.00016313           0.01041615           0.00267162
  4    -3           0.00016313           0.02474632           0.00634764
  4    -2           0.00016313           0.01745209           0.00447658
  4    -1           0.00016313           0.01295844           0.00332363
  4     0           0.00016313           0.01049663           0.00269246
  4     1           0.00016313           0.01295844           0.00332363
  4     2           0.00016313           0.01745209           0.00447658
  4     3           0.00016313           0.02474632           0.00634764
  4     4           0.00016313           0.01041615           0.00267162
