Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    0.67104611
Total DOS in Cell and MT Volumes =   20.24944609  15.87215023
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.90492474           0.65439219           0.42365895
  1    -1          -0.35420207           1.35557351           0.74596704
  1     0          -0.35420207           1.35557351           0.74596704
  1     1          -0.35420207           1.35557351           0.74596704
  2    -2           1.21946214           2.67955605           2.37199332
  2    -1           1.21946214           3.74522015           3.31534917
  2     0           1.21946214           1.61389196           1.42863746
  2     1           1.21946214           3.74522015           3.31534917
  2     2           1.21946214           2.67955605           2.37199332
  3    -3           0.00776632           0.11272933           0.04600927
  3    -2           0.00776632           0.14905832           0.06083592
  3    -1           0.00776632           0.14330504           0.05848648
  3     0           0.00776632           0.06686575           0.02729346
  3     1           0.00776632           0.14330504           0.05848648
  3     2           0.00776632           0.14905832           0.06083592
  3     3           0.00776632           0.11272933           0.04600927
  4    -4           0.00025236           0.01548009           0.00406356
  4    -3           0.00025236           0.03016626           0.00791958
  4    -2           0.00025236           0.02153120           0.00565261
  4    -1           0.00025236           0.02082374           0.00546614
  4     0           0.00025236           0.01183531           0.00310716
  4     1           0.00025236           0.02082374           0.00546614
  4     2           0.00025236           0.02153120           0.00565261
  4     3           0.00025236           0.03016626           0.00791958
  4     4           0.00025236           0.01548009           0.00406356
Atom: Ti, Spin: 1, Partial Phase Shift and DOS at Energy =    0.67104611
Total DOS in Cell and MT Volumes =   27.94321209  22.99099916
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.81308847           0.61176668           0.41664617
  1    -1          -0.24236080           1.34159937           0.76538750
  1     0          -0.24236080           1.34159937           0.76538750
  1     1          -0.24236080           1.34159937           0.76538750
  2    -2           0.66292865           4.12898835           3.68173837
  2    -1           0.66292865           5.87039135           5.23544464
  2     0           0.66292865           2.38758535           2.12803210
  2     1           0.66292865           5.87039135           5.23544464
  2     2           0.66292865           4.12898835           3.68173837
  3    -3           0.00271498           0.09602188           0.03498543
  3    -2           0.00271498           0.12926635           0.04709750
  3    -1           0.00271498           0.12404614           0.04519473
  3     0           0.00271498           0.05398549           0.01967149
  3     1           0.00271498           0.12404614           0.04519473
  3     2           0.00271498           0.12926635           0.04709750
  3     3           0.00271498           0.09602188           0.03498543
  4    -4           0.00008130           0.01460578           0.00362102
  4    -3           0.00008130           0.02572755           0.00637906
  4    -2           0.00008130           0.01852516           0.00459323
  4    -1           0.00008130           0.01948653           0.00483093
  4     0           0.00008130           0.01095825           0.00271704
  4     1           0.00008130           0.01948653           0.00483093
  4     2           0.00008130           0.01852516           0.00459323
  4     3           0.00008130           0.02572755           0.00637906
  4     4           0.00008130           0.01460578           0.00362102
