Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    0.65984687
Total DOS in Cell and MT Volumes =   24.27557064  20.84231142
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.88625132           0.75714792           0.49064195
  1    -1          -0.34433942           0.39127544           0.21541272
  1     0          -0.34433942           0.39127544           0.21541272
  1     1          -0.34433942           0.39127544           0.21541272
  2    -2           1.23166496           4.43169517           3.92625969
  2    -1           1.23166496           4.43169517           3.92625969
  2     0           1.23166496           4.43169517           3.92625969
  2     1           1.23166496           4.43169517           3.92625969
  2     2           1.23166496           4.43169517           3.92625969
  3    -3           0.00760045           0.02474909           0.01010739
  3    -2           0.00760045           0.02474909           0.01010739
  3    -1           0.00760045           0.02474909           0.01010739
  3     0           0.00760045           0.02474909           0.01010739
  3     1           0.00760045           0.02474909           0.01010739
  3     2           0.00760045           0.02474909           0.01010739
  3     3           0.00760045           0.02474909           0.01010739
  4    -4           0.00024475           0.00143077           0.00037568
  4    -3           0.00024475           0.00143077           0.00037568
  4    -2           0.00024475           0.00143077           0.00037568
  4    -1           0.00024475           0.00143077           0.00037568
  4     0           0.00024475           0.00143077           0.00037568
  4     1           0.00024475           0.00143077           0.00037568
  4     2           0.00024475           0.00143077           0.00037568
  4     3           0.00024475           0.00143077           0.00037568
  4     4           0.00024475           0.00143077           0.00037568
Atom: Ti, Spin: 1, Partial Phase Shift and DOS at Energy =    0.65984687
Total DOS in Cell and MT Volumes =   21.30872136  18.28482185
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.79135521           0.84990049           0.57976942
  1    -1          -0.23140927           0.49201844           0.28102565
  1     0          -0.23140927           0.49201844           0.28102565
  1     1          -0.23140927           0.49201844           0.28102565
  2    -2           0.66913220           3.76468450           3.36105928
  2    -1           0.66913220           3.76468450           3.36105928
  2     0           0.66913220           3.76468450           3.36105928
  2     1           0.66913220           3.76468450           3.36105928
  2     2           0.66913220           3.76468450           3.36105928
  3    -3           0.00278892           0.02100668           0.00766127
  3    -2           0.00278892           0.02100668           0.00766127
  3    -1           0.00278892           0.02100668           0.00766127
  3     0           0.00278892           0.02100668           0.00766127
  3     1           0.00278892           0.02100668           0.00766127
  3     2           0.00278892           0.02100668           0.00766127
  3     3           0.00278892           0.02100668           0.00766127
  4    -4           0.00008553           0.00136625           0.00033891
  4    -3           0.00008553           0.00136625           0.00033891
  4    -2           0.00008553           0.00136625           0.00033891
  4    -1           0.00008553           0.00136625           0.00033891
  4     0           0.00008553           0.00136625           0.00033891
  4     1           0.00008553           0.00136625           0.00033891
  4     2           0.00008553           0.00136625           0.00033891
  4     3           0.00008553           0.00136625           0.00033891
  4     4           0.00008553           0.00136625           0.00033891
