Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    0.65983233
Total DOS in Cell and MT Volumes =   24.27558750  20.84223703
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.88624085           0.75714871           0.49064067
  1    -1          -0.34433211           0.39126964           0.21540894
  1     0          -0.34433211           0.39126964           0.21540894
  1     1          -0.34433211           0.39126964           0.21540894
  2    -2           1.23159072           4.43170443           3.92624841
  2    -1           1.23159072           4.43170443           3.92624841
  2     0           1.23159072           4.43170443           3.92624841
  2     1           1.23159072           4.43170443           3.92624841
  2     2           1.23159072           4.43170443           3.92624841
  3    -3           0.00759992           0.02474742           0.01010667
  3    -2           0.00759992           0.02474742           0.01010667
  3    -1           0.00759992           0.02474742           0.01010667
  3     0           0.00759992           0.02474742           0.01010667
  3     1           0.00759992           0.02474742           0.01010667
  3     2           0.00759992           0.02474742           0.01010667
  3     3           0.00759992           0.02474742           0.01010667
  4    -4           0.00024473           0.00143064           0.00037564
  4    -3           0.00024473           0.00143064           0.00037564
  4    -2           0.00024473           0.00143064           0.00037564
  4    -1           0.00024473           0.00143064           0.00037564
  4     0           0.00024473           0.00143064           0.00037564
  4     1           0.00024473           0.00143064           0.00037564
  4     2           0.00024473           0.00143064           0.00037564
  4     3           0.00024473           0.00143064           0.00037564
  4     4           0.00024473           0.00143064           0.00037564
Atom: Ti, Spin: 1, Partial Phase Shift and DOS at Energy =    0.65983233
Total DOS in Cell and MT Volumes =   21.30741117  18.28359519
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.79134376           0.84990360           0.57976964
  1    -1          -0.23140273           0.49201283           0.28102157
  1     0          -0.23140273           0.49201283           0.28102157
  1     1          -0.23140273           0.49201283           0.28102157
  2    -2           0.66908506           3.76442733           3.36081714
  2    -1           0.66908506           3.76442733           3.36081714
  2     0           0.66908506           3.76442733           3.36081714
  2     1           0.66908506           3.76442733           3.36081714
  2     2           0.66908506           3.76442733           3.36081714
  3    -3           0.00278875           0.02100533           0.00766075
  3    -2           0.00278875           0.02100533           0.00766075
  3    -1           0.00278875           0.02100533           0.00766075
  3     0           0.00278875           0.02100533           0.00766075
  3     1           0.00278875           0.02100533           0.00766075
  3     2           0.00278875           0.02100533           0.00766075
  3     3           0.00278875           0.02100533           0.00766075
  4    -4           0.00008552           0.00136613           0.00033888
  4    -3           0.00008552           0.00136613           0.00033888
  4    -2           0.00008552           0.00136613           0.00033888
  4    -1           0.00008552           0.00136613           0.00033888
  4     0           0.00008552           0.00136613           0.00033888
  4     1           0.00008552           0.00136613           0.00033888
  4     2           0.00008552           0.00136613           0.00033888
  4     3           0.00008552           0.00136613           0.00033888
  4     4           0.00008552           0.00136613           0.00033888
