Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    0.64730417
Total DOS in Cell and MT Volumes =   20.86170194  16.39071515
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.86861960           0.61250445           0.39804504
  1    -1          -0.33390985           1.39876585           0.76993637
  1     0          -0.33390985           1.39876585           0.76993637
  1     1          -0.33390985           1.39876585           0.76993637
  2    -2           1.22862068           2.77439544           2.45912891
  2    -1           1.22862068           3.87317876           3.43306064
  2     0           1.22862068           1.67561213           1.48519718
  2     1           1.22862068           3.87317876           3.43306064
  2     2           1.22862068           2.77439544           2.45912891
  3    -3           0.00733910           0.11488872           0.04679594
  3    -2           0.00733910           0.15094544           0.06148211
  3    -1           0.00733910           0.14796526           0.06026670
  3     0           0.00733910           0.06527389           0.02658979
  3     1           0.00733910           0.14796526           0.06026670
  3     2           0.00733910           0.15094544           0.06148211
  3     3           0.00733910           0.11488872           0.04679594
  4    -4           0.00023434           0.01640314           0.00429891
  4    -3           0.00023434           0.02920188           0.00765396
  4    -2           0.00023434           0.02081298           0.00545520
  4    -1           0.00023434           0.02236988           0.00586249
  4     0           0.00023434           0.01169094           0.00306432
  4     1           0.00023434           0.02236988           0.00586249
  4     2           0.00023434           0.02081298           0.00545520
  4     3           0.00023434           0.02920188           0.00765396
  4     4           0.00023434           0.01640314           0.00429891
Atom: Ti, Spin: 1, Partial Phase Shift and DOS at Energy =    0.64730417
Total DOS in Cell and MT Volumes =   28.84028832  23.71808779
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.77516388           0.57823955           0.39541129
  1    -1          -0.22295911           1.46111336           0.83529799
  1     0          -0.22295911           1.46111336           0.83529799
  1     1          -0.22295911           1.46111336           0.83529799
  2    -2           0.66427693           4.23361786           3.78145179
  2    -1           0.66427693           6.01239566           5.37122199
  2     0           0.66427693           2.45484005           2.19168159
  2     1           0.66427693           6.01239566           5.37122199
  2     2           0.66427693           4.23361786           3.78145179
  3    -3           0.00271437           0.09754669           0.03551851
  3    -2           0.00271437           0.13056059           0.04753919
  3    -1           0.00271437           0.12762873           0.04647070
  3     0           0.00271437           0.05242363           0.01909022
  3     1           0.00271437           0.12762873           0.04647070
  3     2           0.00271437           0.13056059           0.04753919
  3     3           0.00271437           0.09754669           0.03551851
  4    -4           0.00008267           0.01548050           0.00383487
  4    -3           0.00008267           0.02452491           0.00607605
  4    -2           0.00008267           0.01761742           0.00436472
  4    -1           0.00008267           0.02093794           0.00518667
  4     0           0.00008267           0.01082441           0.00268177
  4     1           0.00008267           0.02093794           0.00518667
  4     2           0.00008267           0.01761742           0.00436472
  4     3           0.00008267           0.02452491           0.00607605
  4     4           0.00008267           0.01548050           0.00383487
