Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    0.65557286
Total DOS in Cell and MT Volumes =   24.38004086  20.94531033
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.87621255           0.75101122           0.48546222
  1    -1          -0.34027970           0.38355311           0.21133177
  1     0          -0.34027970           0.38355311           0.21133177
  1     1          -0.34027970           0.38355311           0.21133177
  2    -2           1.24926014           4.46025131           3.95100868
  2    -1           1.24926014           4.46025131           3.95100868
  2     0           1.24926014           4.46025131           3.95100868
  2     1           1.24926014           4.46025131           3.95100868
  2     2           1.24926014           4.46025131           3.95100868
  3    -3           0.00758913           0.02358930           0.00966506
  3    -2           0.00758913           0.02358930           0.00966506
  3    -1           0.00758913           0.02358930           0.00966506
  3     0           0.00758913           0.02358930           0.00966506
  3     1           0.00758913           0.02358930           0.00966506
  3     2           0.00758913           0.02358930           0.00966506
  3     3           0.00758913           0.02358930           0.00966506
  4    -4           0.00024272           0.00133207           0.00035045
  4    -3           0.00024272           0.00133207           0.00035045
  4    -2           0.00024272           0.00133207           0.00035045
  4    -1           0.00024272           0.00133207           0.00035045
  4     0           0.00024272           0.00133207           0.00035045
  4     1           0.00024272           0.00133207           0.00035045
  4     2           0.00024272           0.00133207           0.00035045
  4     3           0.00024272           0.00133207           0.00035045
  4     4           0.00024272           0.00133207           0.00035045
Atom: Ti, Spin: 1, Partial Phase Shift and DOS at Energy =    0.65557286
Total DOS in Cell and MT Volumes =   21.51720977  18.48541376
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.77509353           0.84657675           0.57686036
  1    -1          -0.22375287           0.48684750           0.27819240
  1     0          -0.22375287           0.48684750           0.27819240
  1     1          -0.22375287           0.48684750           0.27819240
  2    -2           0.68065140           3.81172039           3.40398226
  2    -1           0.68065140           3.81172039           3.40398226
  2     0           0.68065140           3.81172039           3.40398226
  2     1           0.68065140           3.81172039           3.40398226
  2     2           0.68065140           3.81172039           3.40398226
  3    -3           0.00294752           0.02000580           0.00731711
  3    -2           0.00294752           0.02000580           0.00731711
  3    -1           0.00294752           0.02000580           0.00731711
  3     0           0.00294752           0.02000580           0.00731711
  3     1           0.00294752           0.02000580           0.00731711
  3     2           0.00294752           0.02000580           0.00731711
  3     3           0.00294752           0.02000580           0.00731711
  4    -4           0.00009308           0.00127200           0.00031613
  4    -3           0.00009308           0.00127200           0.00031613
  4    -2           0.00009308           0.00127200           0.00031613
  4    -1           0.00009308           0.00127200           0.00031613
  4     0           0.00009308           0.00127200           0.00031613
  4     1           0.00009308           0.00127200           0.00031613
  4     2           0.00009308           0.00127200           0.00031613
  4     3           0.00009308           0.00127200           0.00031613
  4     4           0.00009308           0.00127200           0.00031613
