Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    1.21543798
Total DOS in Cell and MT Volumes =    8.71974440   6.92927077
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.46247170           0.54405534           0.32058146
  1    -1          -0.74563962           0.29732124           0.18452646
  1     0          -0.74563962           0.29732124           0.18452646
  1     1          -0.74563962           0.29732124           0.18452646
  2    -2           1.37221630           1.23720993           1.08147940
  2    -1           1.37221630           1.64343790           1.43652227
  2     0           1.37221630           0.83098195           0.72643654
  2     1           1.37221630           1.64343790           1.43652227
  2     2           1.37221630           1.23720993           1.08147940
  3    -3           0.02263062           0.07370486           0.03339419
  3    -2           0.02263062           0.09820912           0.04449777
  3    -1           0.02263062           0.08602840           0.03897684
  3     0           0.02263062           0.05521955           0.02502021
  3     1           0.02263062           0.08602840           0.03897684
  3     2           0.02263062           0.09820912           0.04449777
  3     3           0.02263062           0.07370486           0.03339419
  4    -4           0.00091289           0.00940832           0.00265112
  4    -3           0.00091289           0.02000794           0.00563830
  4    -2           0.00091289           0.01470606           0.00414423
  4    -1           0.00091289           0.01171591           0.00330122
  4     0           0.00091289           0.00866697           0.00244249
  4     1           0.00091289           0.01171591           0.00330122
  4     2           0.00091289           0.01470606           0.00414423
  4     3           0.00091289           0.02000794           0.00563830
  4     4           0.00091289           0.00940832           0.00265112
Atom: Ti, Spin: 1, Partial Phase Shift and DOS at Energy =    1.21543798
Total DOS in Cell and MT Volumes =   11.72617760   9.34122415
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.30385010           0.60465824           0.37350315
  1    -1          -0.55865340           0.60536380           0.35126186
  1     0          -0.55865340           0.60536380           0.35126186
  1     1          -0.55865340           0.60536380           0.35126186
  2    -2           0.87122414           1.63806097           1.44273028
  2    -1           0.87122414           2.20974782           1.94633692
  2     0           0.87122414           1.06637412           0.93912365
  2     1           0.87122414           2.20974782           1.94633692
  2     2           0.87122414           1.63806097           1.44273028
  3    -3           0.00698357           0.05612691           0.02173735
  3    -2           0.00698357           0.07465086           0.02891222
  3    -1           0.00698357           0.06623335           0.02565102
  3     0           0.00698357           0.04096725           0.01586684
  3     1           0.00698357           0.06623335           0.02565102
  3     2           0.00698357           0.07465086           0.02891222
  3     3           0.00698357           0.05612691           0.02173735
  4    -4           0.00028016           0.00880745           0.00229091
  4    -3           0.00028016           0.01752693           0.00455929
  4    -2           0.00028016           0.01301487           0.00338556
  4    -1           0.00028016           0.01076815           0.00280081
  4     0           0.00028016           0.00821195           0.00213622
  4     1           0.00028016           0.01076815           0.00280081
  4     2           0.00028016           0.01301487           0.00338556
  4     3           0.00028016           0.01752693           0.00455929
  4     4           0.00028016           0.00880745           0.00229091
