Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    0.87800747
Total DOS in Cell and MT Volumes =   14.66694848  11.55884346
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.14804591           0.62220766           0.38179202
  1    -1          -0.51592647           0.75624901           0.42841250
  1     0          -0.51592647           0.75624901           0.42841250
  1     1          -0.51592647           0.75624901           0.42841250
  2    -2           1.31400837           2.01464813           1.76801366
  2    -1           1.31400837           2.78782169           2.44647108
  2     0           1.31400837           1.24147457           1.08955625
  2     1           1.31400837           2.78782169           2.44647108
  2     2           1.31400837           2.01464813           1.76801366
  3    -3           0.01284003           0.09852523           0.04225085
  3    -2           0.01284003           0.13148226           0.05638486
  3    -1           0.01284003           0.12446605           0.05337407
  3     0           0.01284003           0.05961399           0.02556602
  3     1           0.01284003           0.12446605           0.05337407
  3     2           0.01284003           0.13148226           0.05638486
  3     3           0.01284003           0.09852523           0.04225085
  4    -4           0.00046070           0.01389333           0.00377069
  4    -3           0.00046070           0.02491559           0.00676265
  4    -2           0.00046070           0.01781202           0.00483461
  4    -1           0.00046070           0.01894661           0.00514201
  4     0           0.00046070           0.00988339           0.00268270
  4     1           0.00046070           0.01894661           0.00514201
  4     2           0.00046070           0.01781202           0.00483461
  4     3           0.00046070           0.02491559           0.00676265
  4     4           0.00046070           0.01389333           0.00377069
Atom: Ti, Spin: 1, Partial Phase Shift and DOS at Energy =    0.87800747
Total DOS in Cell and MT Volumes =   20.52606610  16.38949736
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.01817960           0.58108657           0.37735775
  1    -1          -0.36465793           1.28012187           0.72556529
  1     0          -0.36465793           1.28012187           0.72556529
  1     1          -0.36465793           1.28012187           0.72556529
  2    -2           0.77207664           2.83980136           2.51086153
  2    -1           0.77207664           3.98489228           3.52368534
  2     0           0.77207664           1.69471044           1.49803773
  2     1           0.77207664           3.98489228           3.52368534
  2     2           0.77207664           2.83980136           2.51086153
  3    -3           0.00461335           0.07837689           0.02946127
  3    -2           0.00461335           0.10670533           0.04011047
  3    -1           0.00461335           0.10072633           0.03786172
  3     0           0.00461335           0.04485274           0.01686059
  3     1           0.00461335           0.10072633           0.03786172
  3     2           0.00461335           0.10670533           0.04011047
  3     3           0.00461335           0.07837689           0.02946127
  4    -4           0.00016572           0.01306626           0.00331843
  4    -3           0.00016572           0.02133288           0.00541830
  4    -2           0.00016572           0.01536904           0.00390357
  4    -1           0.00016572           0.01762238           0.00447541
  4     0           0.00016572           0.00926527           0.00235335
  4     1           0.00016572           0.01762238           0.00447541
  4     2           0.00016572           0.01536904           0.00390357
  4     3           0.00016572           0.02133288           0.00541830
  4     4           0.00016572           0.01306626           0.00331843
