Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    0.47076879
Total DOS in Cell and MT Volumes =   38.99974912  34.20538219
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.56989009           1.08942690           0.74339726
  1    -1          -0.17843016           0.51484907           0.28622906
  1     0          -0.17843016           0.51484907           0.28622906
  1     1          -0.17843016           0.51484907           0.28622906
  2    -2           1.19305472           7.24921453           6.51143353
  2    -1           1.19305472           7.24921453           6.51143353
  2     0           1.19305472           7.24921453           6.51143353
  2     1           1.19305472           7.24921453           6.51143353
  2     2           1.19305472           7.24921453           6.51143353
  3    -3           0.00411701           0.01609761           0.00633353
  3    -2           0.00411701           0.01609761           0.00633353
  3    -1           0.00411701           0.01609761           0.00633353
  3     0           0.00411701           0.01609761           0.00633353
  3     1           0.00411701           0.01609761           0.00633353
  3     2           0.00411701           0.01609761           0.00633353
  3     3           0.00411701           0.01609761           0.00633353
  4    -4           0.00011317           0.00077990           0.00019948
  4    -3           0.00011317           0.00077990           0.00019948
  4    -2           0.00011317           0.00077990           0.00019948
  4    -1           0.00011317           0.00077990           0.00019948
  4     0           0.00011317           0.00077990           0.00019948
  4     1           0.00011317           0.00077990           0.00019948
  4     2           0.00011317           0.00077990           0.00019948
  4     3           0.00011317           0.00077990           0.00019948
  4     4           0.00011317           0.00077990           0.00019948
Atom: Ti, Spin: 1, Partial Phase Shift and DOS at Energy =    0.47076879
Total DOS in Cell and MT Volumes =   28.18951150  24.64693168
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.48657218           1.20736673           0.86307697
  1    -1          -0.09100440           0.63669884           0.37176585
  1     0          -0.09100440           0.63669884           0.37176585
  1     1          -0.09100440           0.63669884           0.37176585
  2    -2           0.59529682           4.99325401           4.52630998
  2    -1           0.59529682           4.99325401           4.52630998
  2     0           0.59529682           4.99325401           4.52630998
  2     1           0.59529682           4.99325401           4.52630998
  2     2           0.59529682           4.99325401           4.52630998
  3    -3           0.00184311           0.01414497           0.00505124
  3    -2           0.00184311           0.01414497           0.00505124
  3    -1           0.00184311           0.01414497           0.00505124
  3     0           0.00184311           0.01414497           0.00505124
  3     1           0.00184311           0.01414497           0.00505124
  3     2           0.00184311           0.01414497           0.00505124
  3     3           0.00184311           0.01414497           0.00505124
  4    -4           0.00005122           0.00075149           0.00018318
  4    -3           0.00005122           0.00075149           0.00018318
  4    -2           0.00005122           0.00075149           0.00018318
  4    -1           0.00005122           0.00075149           0.00018318
  4     0           0.00005122           0.00075149           0.00018318
  4     1           0.00005122           0.00075149           0.00018318
  4     2           0.00005122           0.00075149           0.00018318
  4     3           0.00005122           0.00075149           0.00018318
  4     4           0.00005122           0.00075149           0.00018318
