Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    0.60191135
Total DOS in Cell and MT Volumes =   27.40706842  23.66576416
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.79502709           0.82169173           0.53773901
  1    -1          -0.29464326           0.40925181           0.22549310
  1     0          -0.29464326           0.40925181           0.22549310
  1     1          -0.29464326           0.40925181           0.22549310
  2    -2           1.24358653           5.04006373           4.47782797
  2    -1           1.24358653           5.04006373           4.47782797
  2     0           1.24358653           5.04006373           4.47782797
  2     1           1.24358653           5.04006373           4.47782797
  2     2           1.24358653           5.04006373           4.47782797
  3    -3           0.00652634           0.02101764           0.00853500
  3    -2           0.00652634           0.02101764           0.00853500
  3    -1           0.00652634           0.02101764           0.00853500
  3     0           0.00652634           0.02101764           0.00853500
  3     1           0.00652634           0.02101764           0.00853500
  3     2           0.00652634           0.02101764           0.00853500
  3     3           0.00652634           0.02101764           0.00853500
  4    -4           0.00020046           0.00113102           0.00029567
  4    -3           0.00020046           0.00113102           0.00029567
  4    -2           0.00020046           0.00113102           0.00029567
  4    -1           0.00020046           0.00113102           0.00029567
  4     0           0.00020046           0.00113102           0.00029567
  4     1           0.00020046           0.00113102           0.00029567
  4     2           0.00020046           0.00113102           0.00029567
  4     3           0.00020046           0.00113102           0.00029567
  4     4           0.00020046           0.00113102           0.00029567
Atom: Ti, Spin: 1, Partial Phase Shift and DOS at Energy =    0.60191135
Total DOS in Cell and MT Volumes =   23.10875207  19.94257543
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.69576515           0.92385167           0.63685458
  1    -1          -0.18407675           0.51883649           0.29792525
  1     0          -0.18407675           0.51883649           0.29792525
  1     1          -0.18407675           0.51883649           0.29792525
  2    -2           0.66414191           4.09854102           3.67273773
  2    -1           0.66414191           4.09854102           3.67273773
  2     0           0.66414191           4.09854102           3.67273773
  2     1           0.66414191           4.09854102           3.67273773
  2     2           0.66414191           4.09854102           3.67273773
  3    -3           0.00269533           0.01799172           0.00654923
  3    -2           0.00269533           0.01799172           0.00654923
  3    -1           0.00269533           0.01799172           0.00654923
  3     0           0.00269533           0.01799172           0.00654923
  3     1           0.00269533           0.01799172           0.00654923
  3     2           0.00269533           0.01799172           0.00654923
  3     3           0.00269533           0.01799172           0.00654923
  4    -4           0.00008339           0.00108264           0.00026798
  4    -3           0.00008339           0.00108264           0.00026798
  4    -2           0.00008339           0.00108264           0.00026798
  4    -1           0.00008339           0.00108264           0.00026798
  4     0           0.00008339           0.00108264           0.00026798
  4     1           0.00008339           0.00108264           0.00026798
  4     2           0.00008339           0.00108264           0.00026798
  4     3           0.00008339           0.00108264           0.00026798
  4     4           0.00008339           0.00108264           0.00026798
