Atom: Ti, Spin: 1, Partial Phase Shift and DOS at Energy =    0.54627264
Total DOS in Cell and MT Volumes =   29.02200424  26.22737360
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.57379723           1.00934637           0.77250638
  1    -1          -0.12619588           0.55487852           0.36441032
  1     0          -0.12619588           0.55487852           0.36441032
  1     1          -0.12619588           0.55487852           0.36441032
  2    -2           0.73991311           5.24667761           4.86235910
  2    -1           0.73991311           5.24667761           4.86235910
  2     0           0.73991311           5.24667761           4.86235910
  2     1           0.73991311           5.24667761           4.86235910
  2     2           0.73991311           5.24667761           4.86235910
  3    -3           0.00277681           0.01527351           0.00677134
  3    -2           0.00277681           0.01527351           0.00677134
  3    -1           0.00277681           0.01527351           0.00677134
  3     0           0.00277681           0.01527351           0.00677134
  3     1           0.00277681           0.01527351           0.00677134
  3     2           0.00277681           0.01527351           0.00677134
  3     3           0.00277681           0.01527351           0.00677134
  4    -4           0.00008865           0.00085775           0.00027126
  4    -3           0.00008865           0.00085775           0.00027126
  4    -2           0.00008865           0.00085775           0.00027126
  4    -1           0.00008865           0.00085775           0.00027126
  4     0           0.00008865           0.00085775           0.00027126
  4     1           0.00008865           0.00085775           0.00027126
  4     2           0.00008865           0.00085775           0.00027126
  4     3           0.00008865           0.00085775           0.00027126
  4     4           0.00008865           0.00085775           0.00027126
