Atom: Ti, Spin: 1, Partial Phase Shift and DOS at Energy =    0.47230904
Total DOS in Cell and MT Volumes =   28.24956451  24.41332328
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.44826132           0.32645207           0.25386863
  1    -1          -0.07270789           1.73334452           1.14747999
  1     0          -0.07270789           1.73334452           1.14747999
  1     1          -0.07270789           1.73334452           1.14747999
  2    -2           0.68934897           3.92009912           3.64753843
  2    -1           0.68934897           6.20340643           5.77253263
  2     0           0.68934897           1.63679180           1.52254422
  2     1           0.68934897           6.20340643           5.77253263
  2     2           0.68934897           3.92009912           3.64753843
  3    -3           0.00219865           0.07963113           0.03494609
  3    -2           0.00219865           0.17183141           0.07538903
  3    -1           0.00219865           0.05175516           0.02271443
  3     0           0.00219865           0.12144510           0.05329357
  3     1           0.00219865           0.05175516           0.02271443
  3     2           0.00219865           0.17183141           0.07538903
  3     3           0.00219865           0.07963113           0.03494609
  4    -4           0.00006566           0.01116333           0.00350120
  4    -3           0.00006566           0.01479439           0.00463937
  4    -2           0.00006566           0.01168641           0.00366520
  4    -1           0.00006566           0.01280978           0.00401793
  4     0           0.00006566           0.01048765           0.00328828
  4     1           0.00006566           0.01280978           0.00401793
  4     2           0.00006566           0.01168641           0.00366520
  4     3           0.00006566           0.01479439           0.00463937
  4     4           0.00006566           0.01116333           0.00350120
