Atom: Ti, Spin: 1, Partial Phase Shift and DOS at Energy =    0.59069067
Total DOS in Cell and MT Volumes =   23.40397339  19.97175798
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.64107507           0.33732763           0.25573268
  1    -1          -0.15768577           1.50084529           0.98156986
  1     0          -0.15768577           1.50084529           0.98156986
  1     1          -0.15768577           1.50084529           0.98156986
  2    -2           0.76807109           3.19085357           2.94971068
  2    -1           0.76807109           5.01536881           4.63655290
  2     0           0.76807109           1.36633832           1.26286846
  2     1           0.76807109           5.01536881           4.63655290
  2     2           0.76807109           3.19085357           2.94971068
  3    -3           0.00313758           0.07601517           0.03389606
  3    -2           0.00313758           0.15353667           0.06844922
  3    -1           0.00313758           0.04995238           0.02227567
  3     0           0.00313758           0.11510935           0.05132665
  3     1           0.00313758           0.04995238           0.02227567
  3     2           0.00313758           0.15353667           0.06844922
  3     3           0.00313758           0.07601517           0.03389606
  4    -4           0.00010373           0.01076286           0.00342148
  4    -3           0.00010373           0.01533226           0.00487354
  4    -2           0.00010373           0.01216583           0.00386739
  4    -1           0.00010373           0.01183725           0.00376341
  4     0           0.00010373           0.01101261           0.00349991
  4     1           0.00010373           0.01183725           0.00376341
  4     2           0.00010373           0.01216583           0.00386739
  4     3           0.00010373           0.01533226           0.00487354
  4     4           0.00010373           0.01076286           0.00342148
