# Name of the system
System: Nb

# Different parameters used in calculations of the same system
Variation: 

# Elements in the system (separated by spaces)
Elements: Nb

# Number of atoms in the unit cell corresponding to the elements (separated by spaces)
Numbers: 1

# Energy and volume per atom data (one data point per line)
-7502.644107 62.5
-7502.692067 66.32549999999999
-7502.735559 70.30400000000002
-7502.774141 74.43849999999999
-7502.807876 78.73200000000001
-7502.836531 83.1875
-7502.860129 87.80799999999998
-7502.878983 92.5965
-7502.893642 97.556
-7502.904233 102.68950000000001
-7502.91101 108.0
-7502.914285 113.49049999999997
-7502.914378 119.16400000000002
-7502.911524 125.02349999999998
-7502.906022 131.07200000000003
-7502.898193 137.3125
-7502.888316 143.748
-7502.876667 150.38150000000002
-7502.863484 157.21599999999998
