Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    0.67865295
Total DOS in Cell and MT Volumes =   20.23443397  16.03581357
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.93227874           0.74492573           0.48466092
  1    -1          -0.36526023           1.13335260           0.62195752
  1     0          -0.36526023           1.13335260           0.62195752
  1     1          -0.36526023           1.13335260           0.62195752
  2    -2           1.14314767           2.72614584           2.40839812
  2    -1           1.14314767           4.14128763           3.65879758
  2     0           1.14314767           1.31100406           1.15799865
  2     1           1.14314767           4.14128763           3.65879758
  2     2           1.14314767           2.72614584           2.40839812
  3    -3           0.00750017           0.10741266           0.04339390
  3    -2           0.00750017           0.14700174           0.05938526
  3    -1           0.00750017           0.13135430           0.05306307
  3     0           0.00750017           0.07150020           0.02889016
  3     1           0.00750017           0.13135430           0.05306307
  3     2           0.00750017           0.14700174           0.05938526
  3     3           0.00750017           0.10741266           0.04339390
  4    -4           0.00024375           0.01309554           0.00341585
  4    -3           0.00024375           0.03765903           0.00982475
  4    -2           0.00024375           0.02538429           0.00662234
  4    -1           0.00024375           0.01847575           0.00481921
  4     0           0.00024375           0.01131263           0.00295117
  4     1           0.00024375           0.01847575           0.00481921
  4     2           0.00024375           0.02538429           0.00662234
  4     3           0.00024375           0.03765903           0.00982475
  4     4           0.00024375           0.01309554           0.00341585
