Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    0.67854630
Total DOS in Cell and MT Volumes =   23.35142728  19.94152060
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.93216045           0.76489891           0.49785372
  1    -1          -0.36518153           0.40929747           0.22464410
  1     0          -0.36518153           0.40929747           0.22464410
  1     1          -0.36518153           0.40929747           0.22464410
  2    -2           1.14319170           4.22823261           3.73683561
  2    -1           1.14319170           4.22823261           3.73683561
  2     0           1.14319170           4.22823261           3.73683561
  2     1           1.14319170           4.22823261           3.73683561
  2     2           1.14319170           4.22823261           3.73683561
  3    -3           0.00749718           0.02875644           0.01161941
  3    -2           0.00749718           0.02875644           0.01161941
  3    -1           0.00749718           0.02875644           0.01161941
  3     0           0.00749718           0.02875644           0.01161941
  3     1           0.00749718           0.02875644           0.01161941
  3     2           0.00749718           0.02875644           0.01161941
  3     3           0.00749718           0.02875644           0.01161941
  4    -4           0.00024362           0.00179753           0.00046896
  4    -3           0.00024362           0.00179753           0.00046896
  4    -2           0.00024362           0.00179753           0.00046896
  4    -1           0.00024362           0.00179753           0.00046896
  4     0           0.00024362           0.00179753           0.00046896
  4     1           0.00024362           0.00179753           0.00046896
  4     2           0.00024362           0.00179753           0.00046896
  4     3           0.00024362           0.00179753           0.00046896
  4     4           0.00024362           0.00179753           0.00046896
