Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    1.07151202
Total DOS in Cell and MT Volumes =   10.09108152   7.60302541
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.34998172           0.84581735           0.51397221
  1    -1          -0.65242517           0.79005848           0.45312031
  1     0          -0.65242517           0.79005848           0.45312031
  1     1          -0.65242517           0.79005848           0.45312031
  2    -2           1.23730908           1.19524022           1.04718462
  2    -1           1.23730908           1.46841777           1.28643281
  2     0           1.23730908           0.92206267           0.80793643
  2     1           1.23730908           1.46841777           1.28643281
  2     2           1.23730908           1.19524022           1.04718462
  3    -3           0.01716451           0.06588594           0.02855502
  3    -2           0.01716451           0.09556292           0.04141631
  3    -1           0.01716451           0.06713051           0.02909263
  3     0           0.01716451           0.06401909           0.02774862
  3     1           0.01716451           0.06713051           0.02909263
  3     2           0.01716451           0.09556292           0.04141631
  3     3           0.01716451           0.06588594           0.02855502
  4    -4           0.00068091           0.00778674           0.00213367
  4    -3           0.00068091           0.01832433           0.00502144
  4    -2           0.00068091           0.01222753           0.00335077
  4    -1           0.00068091           0.01002390           0.00274660
  4     0           0.00068091           0.00780724           0.00213946
  4     1           0.00068091           0.01002390           0.00274660
  4     2           0.00068091           0.01222753           0.00335077
  4     3           0.00068091           0.01832433           0.00502144
  4     4           0.00068091           0.00778674           0.00213367
Atom: V , Spin: 1, Partial Phase Shift and DOS at Energy =    1.07151202
Total DOS in Cell and MT Volumes =   15.89087467  13.39036687
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.14429913           0.66244013           0.44035533
  1    -1          -0.42696659           0.76472525           0.43575880
  1     0          -0.42696659           0.76472525           0.43575880
  1     1          -0.42696659           0.76472525           0.43575880
  2    -2           1.04676570           2.34944699           2.16701126
  2    -1           1.04676570           3.03544512           2.79962608
  2     0           1.04676570           1.66344887           1.53439644
  2     1           1.04676570           3.03544512           2.79962608
  2     2           1.04676570           2.34944699           2.16701126
  3    -3           0.00237244           0.04955447           0.01844974
  3    -2           0.00237244           0.07781410           0.02897122
  3    -1           0.00237244           0.05250473           0.01954723
  3     0           0.00237244           0.04512908           0.01680350
  3     1           0.00237244           0.05250473           0.01954723
  3     2           0.00237244           0.07781410           0.02897122
  3     3           0.00237244           0.04955447           0.01844974
  4    -4           0.00000800           0.00700479           0.00177201
  4    -3           0.00000800           0.01702021           0.00430589
  4    -2           0.00000800           0.01146990           0.00290177
  4    -1           0.00000800           0.00936191           0.00236823
  4     0           0.00000800           0.00643639           0.00162835
  4     1           0.00000800           0.00936191           0.00236823
  4     2           0.00000800           0.01146990           0.00290177
  4     3           0.00000800           0.01702021           0.00430589
  4     4           0.00000800           0.00700479           0.00177201
