Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    0.61743397
Total DOS in Cell and MT Volumes =   26.53515959  22.82571635
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.84113801           0.83580325           0.55013206
  1    -1          -0.31321114           0.43288757           0.23781011
  1     0          -0.31321114           0.43288757           0.23781011
  1     1          -0.31321114           0.43288757           0.23781011
  2    -2           1.15682883           4.84282152           4.29784176
  2    -1           1.15682883           4.84282152           4.29784176
  2     0           1.15682883           4.84282152           4.29784176
  2     1           1.15682883           4.84282152           4.29784176
  2     2           1.15682883           4.84282152           4.29784176
  3    -3           0.00642068           0.02479020           0.00993718
  3    -2           0.00642068           0.02479020           0.00993718
  3    -1           0.00642068           0.02479020           0.00993718
  3     0           0.00642068           0.02479020           0.00993718
  3     1           0.00642068           0.02479020           0.00993718
  3     2           0.00642068           0.02479020           0.00993718
  3     3           0.00642068           0.02479020           0.00993718
  4    -4           0.00019994           0.00145051           0.00037610
  4    -3           0.00019994           0.00145051           0.00037610
  4    -2           0.00019994           0.00145051           0.00037610
  4    -1           0.00019994           0.00145051           0.00037610
  4     0           0.00019994           0.00145051           0.00037610
  4     1           0.00019994           0.00145051           0.00037610
  4     2           0.00019994           0.00145051           0.00037610
  4     3           0.00019994           0.00145051           0.00037610
  4     4           0.00019994           0.00145051           0.00037610
Atom: V , Spin: 1, Partial Phase Shift and DOS at Energy =    0.61743397
Total DOS in Cell and MT Volumes =   41.54938792  37.86364057
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.70797518           0.98735724           0.70035462
  1    -1          -0.18289659           0.56760097           0.32996968
  1     0          -0.18289659           0.56760097           0.32996968
  1     1          -0.18289659           0.56760097           0.32996968
  2    -2           0.91772322           7.74043058           7.22386172
  2    -1           0.91772322           7.74043058           7.22386172
  2     0           0.91772322           7.74043058           7.22386172
  2     1           0.91772322           7.74043058           7.22386172
  2     2           0.91772322           7.74043058           7.22386172
  3    -3           0.00116763           0.02067398           0.00729643
  3    -2           0.00116763           0.02067398           0.00729643
  3    -1           0.00116763           0.02067398           0.00729643
  3     0           0.00116763           0.02067398           0.00729643
  3     1           0.00116763           0.02067398           0.00729643
  3     2           0.00116763           0.02067398           0.00729643
  3     3           0.00116763           0.02067398           0.00729643
  4    -4           0.00001446           0.00137300           0.00033259
  4    -3           0.00001446           0.00137300           0.00033259
  4    -2           0.00001446           0.00137300           0.00033259
  4    -1           0.00001446           0.00137300           0.00033259
  4     0           0.00001446           0.00137300           0.00033259
  4     1           0.00001446           0.00137300           0.00033259
  4     2           0.00001446           0.00137300           0.00033259
  4     3           0.00001446           0.00137300           0.00033259
  4     4           0.00001446           0.00137300           0.00033259
