Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    1.47185417
Total DOS in Cell and MT Volumes =    8.66242840   7.17125771
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.65661082           0.30937629           0.18198208
  1    -1          -0.89563741           0.20440575           0.13002451
  1     0          -0.89563741           0.20440575           0.13002451
  1     1          -0.89563741           0.20440575           0.13002451
  2    -2           1.29840042           1.46071602           1.28108272
  2    -1           1.29840042           1.46071602           1.28108272
  2     0           1.29840042           1.46071602           1.28108272
  2     1           1.29840042           1.46071602           1.28108272
  2     2           1.29840042           1.46071602           1.28108272
  3    -3           0.03025644           0.05644881           0.02600601
  3    -2           0.03025644           0.05644881           0.02600601
  3    -1           0.03025644           0.05644881           0.02600601
  3     0           0.03025644           0.05644881           0.02600601
  3     1           0.03025644           0.05644881           0.02600601
  3     2           0.03025644           0.05644881           0.02600601
  3     3           0.03025644           0.05644881           0.02600601
  4    -4           0.00135071           0.00456813           0.00130516
  4    -3           0.00135071           0.00456813           0.00130516
  4    -2           0.00135071           0.00456813           0.00130516
  4    -1           0.00135071           0.00456813           0.00130516
  4     0           0.00135071           0.00456813           0.00130516
  4     1           0.00135071           0.00456813           0.00130516
  4     2           0.00135071           0.00456813           0.00130516
  4     3           0.00135071           0.00456813           0.00130516
  4     4           0.00135071           0.00456813           0.00130516
Atom: V , Spin: 1, Partial Phase Shift and DOS at Energy =    1.47185417
Total DOS in Cell and MT Volumes =   14.90388288  13.19628112
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.39715221           0.39764098           0.25289281
  1    -1          -0.60468516           0.28230121           0.16197702
  1     0          -0.60468516           0.28230121           0.16197702
  1     1          -0.60468516           0.28230121           0.16197702
  2    -2           1.17384539           2.66692016           2.46729729
  2    -1           1.17384539           2.66692016           2.46729729
  2     0           1.17384539           2.66692016           2.46729729
  2     1           1.17384539           2.66692016           2.46729729
  2     2           1.17384539           2.66692016           2.46729729
  3    -3           0.00453694           0.04100581           0.01587663
  3    -2           0.00453694           0.04100581           0.01587663
  3    -1           0.00453694           0.04100581           0.01587663
  3     0           0.00453694           0.04100581           0.01587663
  3     1           0.00453694           0.04100581           0.01587663
  3     2           0.00453694           0.04100581           0.01587663
  3     3           0.00453694           0.04100581           0.01587663
  4    -4           0.00007079           0.00418854           0.00109271
  4    -3           0.00007079           0.00418854           0.00109271
  4    -2           0.00007079           0.00418854           0.00109271
  4    -1           0.00007079           0.00418854           0.00109271
  4     0           0.00007079           0.00418854           0.00109271
  4     1           0.00007079           0.00418854           0.00109271
  4     2           0.00007079           0.00418854           0.00109271
  4     3           0.00007079           0.00418854           0.00109271
  4     4           0.00007079           0.00418854           0.00109271
