Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    0.69897569
Total DOS in Cell and MT Volumes =   17.47340698  13.64749786
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.94735555           0.63121984           0.40493497
  1    -1          -0.37869244           1.16368142           0.63986245
  1     0          -0.37869244           1.16368142           0.63986245
  1     1          -0.37869244           1.16368142           0.63986245
  2    -2           1.20944497           2.27068473           2.00533501
  2    -1           1.20944497           3.33679219           2.94692394
  2     0           1.20944497           1.20457726           1.06374609
  2     1           1.20944497           3.33679219           2.94692394
  2     2           1.20944497           2.27068473           2.00533501
  3    -3           0.00819947           0.09707715           0.03977929
  3    -2           0.00819947           0.12620545           0.05171340
  3    -1           0.00819947           0.11597031           0.04751820
  3     0           0.00819947           0.06873741           0.02817093
  3     1           0.00819947           0.11597031           0.04751820
  3     2           0.00819947           0.12620545           0.05171340
  3     3           0.00819947           0.09707715           0.03977929
  4    -4           0.00026925           0.01151340           0.00302952
  4    -3           0.00026925           0.03545212           0.00933024
  4    -2           0.00026925           0.02358014           0.00620569
  4    -1           0.00026925           0.01695777           0.00446215
  4     0           0.00026925           0.00936168           0.00246363
  4     1           0.00026925           0.01695777           0.00446215
  4     2           0.00026925           0.02358014           0.00620569
  4     3           0.00026925           0.03545212           0.00933024
  4     4           0.00026925           0.01151340           0.00302952
Atom: V , Spin: 1, Partial Phase Shift and DOS at Energy =    0.69897569
Total DOS in Cell and MT Volumes =   31.06486320  27.27312034
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.78663397           0.52193311           0.36339786
  1    -1          -0.22002202           0.92408642           0.53326646
  1     0          -0.22002202           0.92408642           0.53326646
  1     1          -0.22002202           0.92408642           0.53326646
  2    -2           0.96691105           4.88789100           4.53924580
  2    -1           0.96691105           7.41037321           6.88258779
  2     0           0.96691105           2.36540880           2.19590382
  2     1           0.96691105           7.41037321           6.88258779
  2     2           0.96691105           4.88789100           4.53924580
  3    -3           0.00176252           0.08203777           0.02939969
  3    -2           0.00176252           0.10880486           0.03899093
  3    -1           0.00176252           0.10014230           0.03588590
  3     0           0.00176252           0.05488097           0.01967036
  3     1           0.00176252           0.10014230           0.03588590
  3     2           0.00176252           0.10880486           0.03899093
  3     3           0.00176252           0.08203777           0.02939969
  4    -4           0.00003658           0.01076874           0.00263911
  4    -3           0.00003658           0.03298052           0.00808408
  4    -2           0.00003658           0.02195925           0.00538249
  4    -1           0.00003658           0.01598103           0.00391654
  4     0           0.00003658           0.00850367           0.00208424
  4     1           0.00003658           0.01598103           0.00391654
  4     2           0.00003658           0.02195925           0.00538249
  4     3           0.00003658           0.03298052           0.00808408
  4     4           0.00003658           0.01076874           0.00263911
