Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    0.68965205
Total DOS in Cell and MT Volumes =   17.67404380  13.82224252
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.93501346           0.62228829           0.40005504
  1    -1          -0.37113706           1.17056928           0.64342723
  1     0          -0.37113706           1.17056928           0.64342723
  1     1          -0.37113706           1.17056928           0.64342723
  2    -2           1.20777930           2.30341764           2.03523430
  2    -1           1.20777930           3.38921585           2.99469311
  2     0           1.20777930           1.21761943           1.07577550
  2     1           1.20777930           3.38921585           2.99469311
  2     2           1.20777930           2.30341764           2.03523430
  3    -3           0.00800321           0.09768606           0.03995805
  3    -2           0.00800321           0.12703050           0.05195952
  3    -1           0.00800321           0.11685915           0.04779772
  3     0           0.00800321           0.06892642           0.02819854
  3     1           0.00800321           0.11685915           0.04779772
  3     2           0.00800321           0.12703050           0.05195952
  3     3           0.00800321           0.09768606           0.03995805
  4    -4           0.00026123           0.01165534           0.00306306
  4    -3           0.00026123           0.03543435           0.00931397
  4    -2           0.00026123           0.02359142           0.00620094
  4    -1           0.00026123           0.01718441           0.00451616
  4     0           0.00026123           0.00935237           0.00245812
  4     1           0.00026123           0.01718441           0.00451616
  4     2           0.00026123           0.02359142           0.00620094
  4     3           0.00026123           0.03543435           0.00931397
  4     4           0.00026123           0.01165534           0.00306306
Atom: V , Spin: 1, Partial Phase Shift and DOS at Energy =    0.68965205
Total DOS in Cell and MT Volumes =   31.46869511  27.64576836
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.77608163           0.51911999           0.36202786
  1    -1          -0.21472190           0.93505799           0.53995367
  1     0          -0.21472190           0.93505799           0.53995367
  1     1          -0.21472190           0.93505799           0.53995367
  2    -2           0.96424627           4.95469701           4.60319468
  2    -1           0.96424627           7.51108033           6.97905369
  2     0           0.96424627           2.39831368           2.22733568
  2     1           0.96424627           7.51108033           6.97905369
  2     2           0.96424627           4.95469701           4.60319468
  3    -3           0.00172782           0.08274076           0.02961555
  3    -2           0.00172782           0.10961293           0.03923276
  3    -1           0.00172782           0.10108756           0.03618055
  3     0           0.00172782           0.05522055           0.01976806
  3     1           0.00172782           0.10108756           0.03618055
  3     2           0.00172782           0.10961293           0.03923276
  3     3           0.00172782           0.08274076           0.02961555
  4    -4           0.00003579           0.01091130           0.00267142
  4    -3           0.00003579           0.03291433           0.00805995
  4    -2           0.00003579           0.02194100           0.00537274
  4    -1           0.00003579           0.01619198           0.00396435
  4     0           0.00003579           0.00851252           0.00208436
  4     1           0.00003579           0.01619198           0.00396435
  4     2           0.00003579           0.02194100           0.00537274
  4     3           0.00003579           0.03291433           0.00805995
  4     4           0.00003579           0.01091130           0.00267142
