Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    0.63220851
Total DOS in Cell and MT Volumes =   25.70849733  22.11210593
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.85537242           0.79510360           0.51849547
  1    -1          -0.32380534           0.40781750           0.22399751
  1     0          -0.32380534           0.40781750           0.22399751
  1     1          -0.32380534           0.40781750           0.22399751
  2    -2           1.19672416           4.70213773           4.17017400
  2    -1           1.19672416           4.70213773           4.17017400
  2     0           1.19672416           4.70213773           4.17017400
  2     1           1.19672416           4.70213773           4.17017400
  2     2           1.19672416           4.70213773           4.17017400
  3    -3           0.00683279           0.02385006           0.00964854
  3    -2           0.00683279           0.02385006           0.00964854
  3    -1           0.00683279           0.02385006           0.00964854
  3     0           0.00683279           0.02385006           0.00964854
  3     1           0.00683279           0.02385006           0.00964854
  3     2           0.00683279           0.02385006           0.00964854
  3     3           0.00683279           0.02385006           0.00964854
  4    -4           0.00021440           0.00136691           0.00035647
  4    -3           0.00021440           0.00136691           0.00035647
  4    -2           0.00021440           0.00136691           0.00035647
  4    -1           0.00021440           0.00136691           0.00035647
  4     0           0.00021440           0.00136691           0.00035647
  4     1           0.00021440           0.00136691           0.00035647
  4     2           0.00021440           0.00136691           0.00035647
  4     3           0.00021440           0.00136691           0.00035647
  4     4           0.00021440           0.00136691           0.00035647
Atom: V , Spin: 1, Partial Phase Shift and DOS at Energy =    0.63220851
Total DOS in Cell and MT Volumes =   40.35694219  36.73911438
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.70795696           0.94736854           0.66796916
  1    -1          -0.18173404           0.54610542           0.31682543
  1     0          -0.18173404           0.54610542           0.31682543
  1     1          -0.18173404           0.54610542           0.31682543
  2    -2           0.94688020           7.52423709           7.01373219
  2    -1           0.94688020           7.52423709           7.01373219
  2     0           0.94688020           7.52423709           7.01373219
  2     1           0.94688020           7.52423709           7.01373219
  2     2           0.94688020           7.52423709           7.01373219
  3    -3           0.00151607           0.01977724           0.00702535
  3    -2           0.00151607           0.01977724           0.00702535
  3    -1           0.00151607           0.01977724           0.00702535
  3     0           0.00151607           0.01977724           0.00702535
  3     1           0.00151607           0.01977724           0.00702535
  3     2           0.00151607           0.01977724           0.00702535
  3     3           0.00151607           0.01977724           0.00702535
  4    -4           0.00003094           0.00129236           0.00031450
  4    -3           0.00003094           0.00129236           0.00031450
  4    -2           0.00003094           0.00129236           0.00031450
  4    -1           0.00003094           0.00129236           0.00031450
  4     0           0.00003094           0.00129236           0.00031450
  4     1           0.00003094           0.00129236           0.00031450
  4     2           0.00003094           0.00129236           0.00031450
  4     3           0.00003094           0.00129236           0.00031450
  4     4           0.00003094           0.00129236           0.00031450
