Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    1.25291521
Total DOS in Cell and MT Volumes =   10.16299346   8.48044869
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.49565723           0.34130330           0.20089128
  1    -1          -0.76875096           0.20883317           0.12942662
  1     0          -0.76875096           0.20883317           0.12942662
  1     1          -0.76875096           0.20883317           0.12942662
  2    -2           1.33714982           1.77387722           1.54970284
  2    -1           1.33714982           1.77387722           1.54970284
  2     0           1.33714982           1.77387722           1.54970284
  2     1           1.33714982           1.77387722           1.54970284
  2     2           1.33714982           1.77387722           1.54970284
  3    -3           0.02328814           0.04265982           0.01930123
  3    -2           0.02328814           0.04265982           0.01930123
  3    -1           0.02328814           0.04265982           0.01930123
  3     0           0.02328814           0.04265982           0.01930123
  3     1           0.02328814           0.04265982           0.01930123
  3     2           0.02328814           0.04265982           0.01930123
  3     3           0.02328814           0.04265982           0.01930123
  4    -4           0.00095525           0.00302064           0.00085052
  4    -3           0.00095525           0.00302064           0.00085052
  4    -2           0.00095525           0.00302064           0.00085052
  4    -1           0.00095525           0.00302064           0.00085052
  4     0           0.00095525           0.00302064           0.00085052
  4     1           0.00095525           0.00302064           0.00085052
  4     2           0.00095525           0.00302064           0.00085052
  4     3           0.00095525           0.00302064           0.00085052
  4     4           0.00095525           0.00302064           0.00085052
Atom: V , Spin: 1, Partial Phase Shift and DOS at Energy =    1.25291521
Total DOS in Cell and MT Volumes =   17.23808029  15.27929805
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.23831704           0.44459566           0.28447296
  1    -1          -0.49497724           0.29922328           0.17059024
  1     0          -0.49497724           0.29922328           0.17059024
  1     1          -0.49497724           0.29922328           0.17059024
  2    -2           1.15428898           3.12974303           2.87833997
  2    -1           1.15428898           3.12974303           2.87833997
  2     0           1.15428898           3.12974303           2.87833997
  2     1           1.15428898           3.12974303           2.87833997
  2     2           1.15428898           3.12974303           2.87833997
  3    -3           0.00524293           0.03171720           0.01212683
  3    -2           0.00524293           0.03171720           0.01212683
  3    -1           0.00524293           0.03171720           0.01212683
  3     0           0.00524293           0.03171720           0.01212683
  3     1           0.00524293           0.03171720           0.01212683
  3     2           0.00524293           0.03171720           0.01212683
  3     3           0.00524293           0.03171720           0.01212683
  4    -4           0.00017537           0.00278658           0.00071852
  4    -3           0.00017537           0.00278658           0.00071852
  4    -2           0.00017537           0.00278658           0.00071852
  4    -1           0.00017537           0.00278658           0.00071852
  4     0           0.00017537           0.00278658           0.00071852
  4     1           0.00017537           0.00278658           0.00071852
  4     2           0.00017537           0.00278658           0.00071852
  4     3           0.00017537           0.00278658           0.00071852
  4     4           0.00017537           0.00278658           0.00071852
